organization,visible_url,domain,organization_type,specialty,confidence,notes
Worldwide Clinical Trials,https://www.worldwide.com,worldwide.com,CRO,Global full-service contract research organization,high,30+ years therapeutic experience
PPD (Part of Thermo Fisher Scientific),https://www.ppd.com,ppd.com,"CRO; HEOR; Market Access",Global pharmaceutical contract research and health economics,high,Major CRO with HEOR division
Parexel,https://www.parexel.com,parexel.com,CRO,Contract research organization,high,Major global CRO
Emergent CRO,,,CRO,Clinical research organization,high,Collegeville PA; local listing from Google Places
Amarex Clinical Research LLC,,,CRO,Clinical research services,high,Germantown MD; local listing from Google Places
ICON plc,https://www.iconplc.com,iconplc.com,"CRO; Market Access",Clinical research consulting and commercial services,high,Large global CRO with market access expertise
Medpace,https://www.medpace.com,medpace.com,CRO,Drug and biologic contract research organization,high,Full-service CRO
Clario,https://clario.com,clario.com,CRO,Clinical research organization and clinical trial solutions,high,Regulatory and market access support
Analysis Group,https://www.analysisgroup.com,analysisgroup.com,HEOR,"Health economics, outcomes research, market access, commercial strategy",high,Economics and outcomes research consulting
IQVIA,https://www.iqvia.com,iqvia.com,"CRO; HEOR; RWE",Real world evidence health economics and clinical research,high,Major player in RWE and HEOR space
Novotech CRO,https://novotech-cro.com,novotech-cro.com,CRO,Global full-service clinical research for biotech and pharma,high,Focus on biotech and small to mid-sized pharma
Premier Research,https://premier-research.com,premier-research.com,"CRO; Market Access",Global full-service CRO market access and regulatory affairs,high,Dedicated to market access and new product strategy
Emmes Group,https://theemmesgroup.com,theemmesgroup.com,CRO,Native digital and AI specialty CRO,high,"Focus on biopharmaceutical, government, non-profit, academic partners"
Certara,https://www.certara.com,certara.com,"HEOR; Market Access",Health economics outcomes research real world data and evidence solutions,high,HEOR consulting with evidence generation and market access focus
PharPoint Research,https://pharpoint.com,pharpoint.com,CRO,US-based contract research organization,high,Helps sponsors meet clinical trial goals
PSI CRO,https://psicro.com,psicro.com,CRO,Global CRO full-service clinical research,high,Predictable patient enrollment across therapeutic areas
OPEN Health,https://www.openhealthgroup.com,openhealthgroup.com,"Medical Communications; HEOR",Medical communications healthcare HEOR and market access,high,Scientific and creative communications services
Flatiron Health,https://flatiron.com,flatiron.com,RWE,Real-world evidence in oncology,high,RWE in oncology HTA and market access
Costello Medical,https://www.costellomedical.com,costellomedical.com,"RWE; Medical Communications",Real-world evidence methodologies and geographies for evidence generation,high,Supports global evidence generation needs
Rho,https://www.rhoworld.com,rhoworld.com,CRO,Global CRO smarter trials science cohesion sponsor-first,high,Strategy-driven approach to clinical trials
Digital Health Outcomes,https://digitalhsa.com,digitalhsa.com,HEOR,Health economics and outcomes research,high,HEOR evaluations and real world evidence studies
Ergomed CRO,https://ergomedcro.com,ergomedcro.com,"CRO; RWE",Real world evidence generation post-launch insights contract research,high,Leading CRO with clinical research focus
Atropos Health,https://www.atroposhealth.com,atroposhealth.com,"HEOR; RWE",HEOR real-world evidence research-grade RWE/RWD insights,high,AI-driven evidence generation and publication-grade RWE
CIBMTR,https://cibmtr.org,cibmtr.org,CRO,Clinical research organization services,high,Formerly Resource for Clinical Investigations in Blood and Marrow
SCRI - Sarah Cannon Research Institute,https://www.scri.com,scri.com,CRO,Contract research organization model,high,Ever-evolving approach to FDA requirements
Tranquil Clinical Research,https://tranquilclinicalresearch.com,tranquilclinicalresearch.com,CRO,Full service CRO with Phase I unit,high,Open 24/7 Phase I capabilities
Cromos Pharma,https://cromospharma.com,cromospharma.com,CRO,US-based ISO-accredited international CRO,high,22+ years experience integrated CRO services
Total Trials,https://www.totaltrials.com,totaltrials.com,CRO,Global mission-driven contract research organization,high,Complex CRO clinical trial capabilities and patient recruitment
Komodo Health,https://www.komodohealth.com,komodohealth.com,"HEOR; RWE",HEOR data and insights research-grade RWE/RWD,high,AI-driven evidence generation
Syneos Health,https://www.syneoshealth.com,syneoshealth.com,HEOR,Real world evidence health economics and outcomes research,high,Multidisciplinary HEOR approach
Sermes CRO,https://www.sermescro.com,sermescro.com,CRO,CRO committed to Farmaindustria Code of Conduct,high,European CRO standards focus
Allucent,https://www.allucent.com,allucent.com,CRO,Global full-service CRO for biotech and small-to-mid-size pharma,high,Expert clinical research solutions
Cytel,https://cytel.com,cytel.com,"HEOR; RWE",Market access real-world evidence software trial design HEOR,high,HEOR market access and regulatory strategy
Cardinal Health,https://www.cardinalhealth.com,cardinalhealth.com,RWE,RWE strategy consulting patient-reported outcomes physician-led chart review,high,RWE solutions and consulting
TFS HealthScience,https://tfscro.com,tfscro.com,CRO,Real-world evidence studies and global CRO resourcing,high,Global CRO services
Aurevia,https://www.aurevia.com,aurevia.com,Research Consulting,"Quality regulatory and CRO consulting, medtech regulatory compliance",high,Full-service CRO consulting supporting pharma and medical devices
KMK Consulting,https://kmkconsultinginc.com,kmkconsultinginc.com,"HEOR; RWE",HEOR-RWE health economics outcomes research RWD and RWE,high,Data capabilities tools and experience
Axina,https://www.axina.com,axina.com,"HEOR; RWE",AI-powered RWE HEOR and evidence synthesis solutions,high,Market access and cost-effectiveness focus
Magnolia Market Access,https://www.magnoliamarketaccess.com,magnoliamarketaccess.com,Research Consulting,Market access strategy and HEOR in pharmaceutical industry,high,Core market access concepts
Alira Health,https://www.alirahealth.com,alirahealth.com,"CRO; Market Access",Clinical operations full-service CRO market access patient engagement,high,Early stage to post-market studies
Perisphere Real World Evidence LLC,https://www.perisphere-rwe.com,perisphere-rwe.com,RWE,Pharmacoepidemiology and real-world evidence generation,high,20+ years experience in evidence generation
Southern Research,https://www.southernresearch.org/services,southernresearch.org,CRO,Comprehensive CRO services across oncology infectious disease rare disease,high,CRO services across disease areas
MCT CRO,https://www.mct-cro.com,mct-cro.com,CRO,CRO delivering clinical trials across Middle East Africa Pakistan and EAEU,high,Regional CRO focus
CMIC,https://cmicgroup.com,cmicgroup.com,CRO,Clinical CRO solutions Phase I to Phase IV,high,Japan's first and largest contract research organization
CTI Clinical Trial and Consulting,https://www.ctifacts.com,ctifacts.com,"CRO; RWE",Full-service contract research organization founded 1999,high,Full-service CRO with RWE capabilities
Genesis Research Group,https://genesisrg.com,genesisrg.com,"HEOR; Market Access",Life sciences consulting HEOR real-world evidence and market access,high,HEOR and market access consulting for biotech and pharma
