organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
CentraCare Health System,centracare.com,https://www.centracare.com,hospital_system,Hospital System,medium,Major regional health system in Minnesota identified via research profile
Centre for Public Impact,centreforpublicimpact.org,https://www.centreforpublicimpact.org,consulting_federal,Policy Research; Governments championing value of human relationships and culture of learning,high,Mission-driven changemakers shaping new era for governments
Centrivo Care,centrivocare.com,https://www.centrivocare.com,clinical_informatics_healthit,HIE; Health information exchange services and clinical data sharing,high,Regional HIE and healthcare services organization
Century Health,century.health,https://www.century.health,digital_health,Health AI; Real-world data and clinical AI for medical breakthroughs,high,Evidence generation grounded in clinical care
Cepheid,cepheid.com,https://www.cepheid.com,med_device_diagnostics,Molecular Diagnostics; Molecular diagnostic testing with GeneXpert systems,high,Automated molecular diagnostics platform
Cerebral,cerebral.com,https://cerebral.com/careers,Digital Health,Digital Health,medium,Mental health
Certara,certara.com,https://www.certara.com,cro_heor_rwe,Consulting; HEOR; Health economics outcomes research real world data and evidence solutions; Market Access; RWE; iCIMS,high,HEOR consulting with evidence generation and market access focus; Modeling/HEOR; failure_reason=no_matching_roles
CGI Federal,cgi.com,https://www.cgi.com/en/careers,Federal Contractors,Federal Contractors; Workday (embedded; blocked API),medium,CMS/HHS contractor; Federal IT/health; Federal health research/contractor; failure_reason=no_matching_roles
CGIAR,cgiar.org,https://www.cgiar.org,global_health_ngo,International Research; Food security nutrition and climate adaptation research,high,Global agricultural research partnership with health implications
Change Healthcare,unitedhealthgroup.com,https://careers.unitedhealthgroup.com/,Digital Health,Digital Health; Federal Contractors; Workday,medium,Claims analytics; Federal health programs; Federal health research/contractor; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl; Payer RWD; UHG RWD; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Chapin Hall Federal,chapinhall.org,https://www.chapinhall.org/careers/,Federal Contractors,Federal Contractors; Research Organizations; Workday,medium,Child/family policy research; Federal health research/contractor; failure_reason=fetch_failed:HTTP Error 404: Not Found
Charles River HEOR,criver.com,https://jobs.criver.com/,HEOR / RWE / Consulting,Consulting; HEOR; RWE; SuccessFactors,medium,CRO/biostatistics; HEOR/RWE/epi consulting; R20 new; failure_reason=no_matching_roles
ChartSwap,chartswap.com,https://www.chartswap.com,clinical_informatics_healthit,HIE; Platform for electronic health record request and release management,high,HIE and medical records exchange platform
Chembio Diagnostics,chembio.com,https://chembio.com,med_device_diagnostics,Diagnostics; Point-of-care infectious disease diagnostics,high,CLIA-waived rapid tests
Chemical Hazards Emergency Medical Management (CHEMM),chemm.hhs.gov,https://chemm.hhs.gov,environmental_occupational_health,"Government - Federal Resource; Toxicology, Industrial Hygiene",high,HHS resource for industrial hygienists and toxicologists providing incident command support
Chemonics International,chemonics.com,https://www.chemonics.com,global_health_ngo,Implementation Science; International development health contractor,high,USAID and donor health systems implementation contractor
Chenega Corporation,chenega.com,https://careers.chenega.com/chenega-careers,Federal Contractors,Federal Contractors; iCIMS,medium,Federal health research/contractor; Federal services; failure_reason=no_matching_roles
ChenMed,chenmed.com,https://www.chenmed.com/careers,Digital Health,Custom; Digital Health,medium,Senior-focused primary care; failure_reason=no_matching_roles
Cherokee Federal,cherokee-federal.com,https://www.cherokee-federal.com/careers/,Federal Contractors,Custom; Federal Contractors,medium,Federal health research/contractor; failure_reason=no_matching_roles; iCIMS
Cheshire Medical Center,cheshiremed.org,https://www.cheshiremed.org › about › center-population,hospital_system,Regional Health System,high,Non-profit medical center with Center for Population Health in Monadnock Region
Cheyenne Regional Medical Center,cheyenneregional.org,https://www.cheyenneregional.org,hospital_system,Regional Health System,high,Wyoming Institute of Population Health and population health management focus
CHI Health,chihealth.com,https://www.chihealth.com,org_harvest,CHI Health; Hospital System; Hospital Systems; Workday,high,Also seen under domain commonspirit.careers; Catholic health system part of CommonSpirit Health; Hospital/cancer center; Large nonprofit Catholic system; Part of CommonSpirit Health; Regional hospital system; failure_reason=no_matching_roles; population health research
Chicago Department of Public Health,chicago.gov,https://www.chicago.gov/city/en/depts/dhr.html,Government / Public Health,Government; Public Health; Taleo,medium,Municipal public health; failure_reason=no_matching_roles
Chiesi USA,chiesiusa.com,https://www.chiesiusa.com/careers,Pharmaceutical Companies,Pharmaceutical Companies; Workday (embedded; blocked API),medium,Specialty pharma; failure_reason=no_matching_roles
Child and Adolescent Policy Research Institute,education.utsa.edu,https://education.utsa.edu/centers/capri,survey_policy_research,Policy Research; Child and adolescent policy research,high,University of Texas at San Antonio policy research center
Child Family Health International,cfhi.org,https://www.cfhi.org,global_health_ngo,Global Health; Ethical global health education and training,medium,Education-focused global health nonprofit
Child Trends Federal,childtrends.org,https://www.childtrends.org/careers/job-openings,Federal Contractors,ADP; Federal Contractors; Research Organizations,medium,Child health research; Federal health research/contractor; failure_reason=no_matching_roles
Children and Family Futures,cffutures.org,https://www.cffutures.org,behavioral_mental_health,Substance use treatment organization / Behavioral health company; Child welfare substance use treatment and behavioral health technical assistance,medium,Provides training and technical assistance to agencies on behavioral health and substance use
Children's Healthcare of Atlanta,choa.org,https://jobs.choa.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)>; population health research
Children's Hospital at Montefiore,cham.org,https://www.cham.org,hospital_system,Children's Hospital,high,Community and Population Health expertise within Montefiore system in Bronx NY
Children's Hospital Colorado,childrenscolorado.org,https://careers.childrenscolorado.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Children's Hospital Los Angeles,chla.org,https://www.chla.org,academic,Academic Medical Center; Hospital Systems; Workday,high,Hospital/cancer center; Saban Research Institute pediatric; failure_reason=fetch_failed:HTTP Error 403: Forbidden; population health research
Children's Hospital of Orange County,choc.org,https://www.choc.org/research,academic,Hospital Systems; Research Institute; Workday,high,600+ pediatric clinical studies; Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Children's Hospital of Philadelphia,research.chop.edu,https://www.research.chop.edu,hospital_system,Children's Hospital,high,Major pediatric research institute with biostatistics and data management programs
Children's Hospital of Philadelphia Research Institute,chop.edu,https://www.research.chop.edu,academic,Hospital Systems; Phenom; Research Institute,high,Pediatric AMC; Pediatric academic research; failure_reason=no_matching_roles
Children's Hospital of Richmond,chrichmond.org,https://careers.chrichmond.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:<urlopen error EOF occurred in violation of protocol (_ssl.c:1129)>; population health research
Children's Hospital Research Institute of Manitoba,chrim.ca,https://www.chrim.ca,hospital_system,Children's Hospital,high,Canadian children's hospital research institute
Children's Medical Center Dallas,childrens.com,https://jobs.childrens.com/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:<urlopen error timed out>; population health research
Children's Mercy Kansas City,childrensmercy.org,https://careers.childrensmercy.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [Errno -5] No address associated with hostname>; population health research
Children's Minnesota,childrensmn.org,https://careers.childrensmn.org/,Hospital Systems,Hospital Systems,medium,Hospital/cancer center; population health research
Children's National,childrensnational.org,https://www.childrensnational.org › about-us,hospital_system,Children's Hospital; Hospital Systems; Workday,high,Hospital/cancer center; Washington D.C. region's only standalone children's hospital serving 250000+ kids annually; failure_reason=no_matching_roles; population health research
Children's Nebraska,childrensnebraska.org,https://www.childrensnebraska.org,hospital_system,Children's Hospital,high,Only full-service pediatric hospital in Nebraska
Children's Wisconsin,chw.org,https://careers.chw.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Christus Health,christushealth.org,https://careers.christushealth.org/,Hospital Systems,Hospital Systems,medium,Texas-based system
CIBMTR,cibmtr.org,https://cibmtr.org,cro_heor_rwe,CRO; Clinical research organization services,high,Formerly Resource for Clinical Investigations in Blood and Marrow
CIESIN Columbia University,ciesin.columbia.edu,https://ciesin.columbia.edu,global_health_ngo,International Research; Population migration and geospatial health data,high,Center for population and environmental health data
Cigna Healthcare,cigna.com,https://www.cigna.com,payer_vbc,Health Insurance; Medical and dental health insurance,high,Major national health insurer
