employer,job_title,url,remote_status,salary,role_family,search_term,why_potentially_relevant,risk_or_concern,source_queue,agent
Peach State Health Plan,Data Analyst III,https://jobs.centene.com/en/jobs/1642364/data-analyst-iii/,remote,Not listed,Healthcare Analytics,data,Data and Business Analytics at Medicaid MCO full-time remote US nationwide,May be operational analytics vs research-focused,E,E
Pearl Health,Staff Data Scientist Clinical Performance,https://www.pearlhealth.com/careers?ashby_jid=d9ea67b30-85f8-4b13-b68a-b3b5dcde488,remote,Not listed,Healthcare Analytics,data,Value-based care clinical performance data science aligns with healthcare analytics and outcomes research,Strong fit for epidemiology/public health analytics background,E,E
PointClickCare,(US) Sr Solutions Analyst - Financial,https://jobs.lever.co/pointclickcare,remote,Not listed,Healthcare Analytics,analyst,Financial solutions analyst at LTPAC health IT platform may involve healthcare data analysis,May be finance/operations vs research analytics,E,E
PointClickCare,US Technical Solutions Analyst,https://jobs.lever.co/pointclickcare,remote,Not listed,Clinical Informatics,analyst,Technical solutions analyst at healthcare software vendor,May be customer support vs analytics,E,E
PointClickCare,Senior Applied Researcher AI/ML (US),https://jobs.lever.co/pointclickcare,remote,Not listed,Research,research,Applied AI/ML research at post-acute care data platform,Strong research fit in healthcare data context,E,E
PPD (Part of Thermo Fisher Scientific),Lead Statistician HEOR,https://jobs.thermofisher.com/global/en/job/R-01341805/Lead-Statistician-HEOR,remote,Not listed,HEOR/RWE,HEOR,Lead statistician HEOR role fully remote US in clinical research services,Director-level title but HEOR statistician core fit,E,E
Precision for Medicine HEOR,Senior Medical Research Scientist,https://www.precisionformedicine.com/careers,remote,Not listed,Research,research,Senior medical research scientist remote work-from-anywhere HEOR/RWE organization,Competitive payout details unclear,E,E
Professional Data Analysts,Program Evaluator,https://pdastats.com,remote unclear,Not listed,Research,public health,Public health program evaluation and data analysis consulting firm,Posted via FlexJobs paywall,E,E
Professional Data Analysts,Senior Evaluator,https://pdastats.com,remote unclear,Not listed,Program Evaluation,public health,Senior program evaluation role remote US flexible Minneapolis office option,FlexJobs paywall,E,E
Professional Data Analysts,Statistical Analyst,https://pdastats.com,remote unclear,Not listed,Statistics,analytics,Statistical analysis and data-centric public health solutions,FlexJobs paywall,E,E
PSCI,Sr SAS Programmer,https://www.psci.com/jobs/sr-sas-programmer-a0erd000000ugmmma5/,remote,Not listed,Statistics,biostatistics,SAS programming clinical research SDTM ADaM pharmacovigilance data,Healthcare consulting contractor role,E,E
Rady Children's Health,Senior Business Systems Analyst Revenue Cycle Application,https://jobs.rchsd.org/,remote,Not listed,Healthcare Analytics,analyst,Revenue cycle business systems analyst remote at pediatric academic hospital,May be IT/billing vs research analytics,E,E
SCAN Health Plan,Senior Population Health Analyst,https://careers.scanhealthplan.com/,remote,Not listed,Healthcare Analytics,population health,Medicare Advantage plan population health analytics,Onsite Long Beach listed; remote option noted,E,E
Scicom MedComms,Senior Medical Writer,https://www.scicomms.com/careers,remote,Not listed,Scientific Communication,medical writer,Medical communications agency senior scientific writing,Location various US remote,E,E
Science 37,Clinical Data Analyst,https://www.science37.com/careers/,remote,Not listed,Healthcare Analytics,data,Decentralized trials clinical data analysis,CRA-adjacent but data analyst focus,E,E
Science 37,Biostatistician,https://www.science37.com/careers/,remote,Not listed,Statistics,biostatistics,Remote biostatistician at decentralized CRO,Strong statistics fit,E,E
Science 37,Real World Evidence Analyst,https://www.science37.com/careers/,remote,Not listed,HEOR/RWE,RWE,Remote RWE analyst decentralized clinical research,Direct HEOR/RWE match,E,E
Scientific Group,Medical Writer,https://wearescientific.com/careers,remote,Not listed,Scientific Communication,medical writer,Medical communications scientific writing Boston or remote,Hybrid Boston possible,E,E
Scientific Group,Senior Medical Writer,https://wearescientific.com/careers,remote,Not listed,Scientific Communication,medical writer,Senior medical writing pharma biotech communications,Boston or remote,E,E
Save the Children International,Senior Advisor MERL,https://www.savethechildren.net/careers,remote unclear,Not listed,Research,research,Monitoring evaluation research learning global public health,International NGO location varies,E,E
SmarterDx,Data Scientist,https://smarterdx.com/careers,remote,Not listed,Healthcare Analytics,data scientist,Healthcare AI clinical documentation analytics fully remote US team,Strong data science healthcare fit,E,E
SmarterDx,Senior Data Scientist,https://smarterdx.com/careers,remote,Not listed,Healthcare Analytics,data scientist,Senior healthcare data science remote US,Strong analytics fit,E,E
Spring Health,Senior Data Analyst Specialty Care,https://www.springhealth.com/careers,remote,Not listed,Healthcare Analytics,analytics,Mental health tech remote data analyst specialty care,Behavioral health analytics,E,E
Syneos Health,Practice Area Leader Data AI and Analytics Strategy,https://commercialcareers.syneoshealth.com/jobs/search?q=data+analyst,remote,Not listed,Healthcare Analytics,analytics,Large CRO biopharma data AI analytics strategy remote US,Leadership title may be executive-adjacent,E,E
Syneos Health,HEOR Analyst,https://careers.syneoshealth.com,remote,Not listed,HEOR/RWE,HEOR,HEOR analyst remote at major CRO/HEOR organization,Strong HEOR match,E,E
Syneos Health,Medical Writer Outcomes Research,https://careers.syneoshealth.com,remote,Not listed,Scientific Communication,medical writer,Outcomes research medical writing remote,CRO medical communications,E,E
RTI International,Director Epidemiology,https://careers.rti.org/jobs?keywords=epidemiology,remote unclear,Not listed,Research,epidemiology,Major nonprofit research institute epidemiology director multiple locations,Director title; location flexible not fully remote confirmed,E,E
RTI International,Director Epidemiology Causal Inference,https://careers.rti.org/jobs?keywords=epidemiology,remote unclear,Not listed,Research,epidemiology,Causal inference epidemiology leadership at RTI,Director title; onsite flexibility unclear,E,E
Sunshine Health,Medicaid Program Analyst,https://jobs.centene.com,remote,Not listed,Policy,Medicaid,Florida Medicaid MCO program analyst remote via Centene,Policy vs analytics balance,E,E
Surescripts,Principal Analytics Analyst Healthcare Data,https://surescripts.com/careers,remote,Not listed,Healthcare Analytics,analytics,National health information network healthcare data analytics,Health IT data focus,E,E
Surescripts,Senior Data Analyst Health Outcomes,https://surescripts.com/careers,remote,Not listed,Healthcare Analytics,outcomes,Senior health outcomes data analyst national Rx network,Outcomes analytics fit,E,E
