organization,visible_url,domain,organization_type,specialty,confidence,notes
National Institute for Occupational Safety and Health (NIOSH),https://www.cdc.gov,cdc.gov,Government - Federal Research Agency,"Occupational Health, Workplace Safety Research",high,Leading federal research agency for occupational safety and health; part of CDC
Council of State and Territorial Epidemiologists (CSTE),https://www.cste.org,cste.org,Professional Association,"Disaster Epidemiology, Public Health Preparedness",high,Disaster Epidemiology Subcommittee focuses on public health preparedness and disaster response
American Industrial Hygiene Association (AIHA),https://www.aiha.org,aiha.org,Professional Association,"Industrial Hygiene, Occupational Health",high,Association for scientists and professionals committed to preserving OEHS in workplace and community
Occupational Environmental Health Solutions Inc. (OEHS),https://www.oehsinc.com,oehsinc.com,Environmental Consulting Firm,"Industrial Hygiene, Occupational Health",high,Industrial hygiene and safety consulting firm specializing in chemical physical biological and ergonomic hazards
International Society for Environmental Epidemiology (ISEE),https://www.iseepi.org,iseepi.org,Professional Association,Environmental Epidemiology,high,Scientific association focused on environmental epidemiology research training and policy worldwide
Louisiana Department of Health,https://ldh.la.gov,ldh.la.gov,Government - State,"Environmental Epidemiology, Toxicology",high,Section of Environmental Epidemiology and Toxicology (SEET) collects and evaluates environmental health data
Texas Department of State Health Services (DSHS),https://www.dshs.texas.gov,dshs.texas.gov,Government - State,Environmental Epidemiology,high,Environmental Epidemiology and Disease Registries Section protects health of people of Texas
United Nations Industrial Development Organization (UNIDO),https://www.unido.org,unido.org,International Organization,Environmental Health,medium,Provides solutions for pressing global challenges including sustainable industrial development
National Cancer Institute (NCI),https://dceg.cancer.gov,cancer.gov,Government - Federal Research Institute,"Occupational Health, Environmental Epidemiology, Exposure Science",high,Occupational and Environmental Epidemiology Branch (OEEB) studies workplace and environmental exposures
Eastern Research Group Inc. (ERG),https://www.erg.com,erg.com,Environmental Consulting Firm,"Environmental Health, Occupational Health",high,Helps government agencies understand environmental and occupational exposures to hazards
Chemical Hazards Emergency Medical Management (CHEMM),https://chemm.hhs.gov,chemm.hhs.gov,Government - Federal Resource,"Toxicology, Industrial Hygiene",high,HHS resource for industrial hygienists and toxicologists providing incident command support
Association of Occupational and Environmental Clinics (AOEC),https://aoec.org,aoec.org,Professional Association,"Occupational Health, Environmental Health",high,Network of clinics providing patient-focused care for workers injured or ill on the job and people exposed to environmental hazards
OSHAcademy,https://www.oshacademy.com,oshacademy.com,Professional Training Organization,"Occupational Health, Workplace Safety",medium,Member-based organization advancing occupational and environmental health through training and education
American Conference of Governmental Industrial Hygienists (ACGIH),https://www.acgih.org,acgih.org,Professional Association,"Industrial Hygiene, Occupational Health, Regulatory Science",high,Respected for dedication to industrial hygiene and occupational/environmental health and safety communities for over 87 years
Occupational and Environmental Health Network P.C. (OEHN),https://oehn.org,oehn.org,Professional Network,"Occupational Health, Environmental Health",high,Organization of board-certified occupational health physicians and other occupational health professionals
IO Solutions,https://www.iosolutions.com,iosolutions.com,Consulting Firm,"Occupational Health, Workplace Safety",medium,Consulting firm for public safety agencies specializing in personnel selection and testing solutions
North Carolina Department of Health and Human Services,https://epi.dph.ncdhhs.gov,ncdhhs.gov,Government - State,"Public Health Preparedness, Environmental Epidemiology",high,Public Health Preparedness and Response section with occupational and environmental epidemiology capabilities
Center for Occupational and Environmental Health (COEH) - UC Berkeley,https://www.coeh.berkeley.edu,coeh.berkeley.edu,Academic Research Center,"Occupational Health, Environmental Health",high,Professional resources center; includes Board for Global EHS Credentialing (BGCE)
American College of Occupational and Environmental Medicine (ACOEM),https://acoem.org,acoem.org,Professional Association,"Occupational Health, Environmental Medicine",high,Improves care and wellbeing of workers through occupational and environmental medicine knowledge
Environmental Health Consultants (EHC),https://www.ehcmgmt.com,ehcmgmt.com,Environmental Consulting Firm,Environmental Health,medium,Regulated and compliance-driven environments consulting for government industrial and transportation facilities
