organization,visible_url,domain,organization_type,specialty,confidence,notes
Institute for Firearm Injury Prevention | University of Michigan,https://firearminjury.umich.edu,firearminjury.umich.edu,university research institute,firearm injury prevention,high,Standalone institute homepage dedicated to firearm injury prevention research and education
Center for Violence Prevention Research,https://www.scienceofviolence.org,scienceofviolence.org,research center,violence prevention research,high,Independent research center focused on science-backed violence prevention solutions
VCU Health Injury and Violence Prevention Research Lab (IVPRL),https://www.vcuhealth.org/services/injury-and-violence-prevention-research-lab,vcuhealth.org,academic research lab,injury and violence prevention research,high,Academic medical center research lab with dedicated injury and violence prevention mission
Gun Violence Prevention Research Roundtable,https://www.researchgunviolence.org,researchgunviolence.org,research coalition,firearm violence prevention research,high,National coalition of medical and public health organizations advocating for firearm violence prevention research funding
Center for Firearm Injury Prevention | University of Washington,https://cfip.uw.edu,cfip.uw.edu,university research center,firearm injury prevention,high,UW Medicine center focused on equitable programs and policies to prevent firearm-related harm
Center for Injury Research and Prevention (CIRP) | Children's Hospital of Philadelphia,https://injury.research.chop.edu,injury.research.chop.edu,pediatric research center,injury prevention; trauma; violence prevention,high,Independent pediatric injury and violence prevention research center at CHOP
OHSU Gun Violence Prevention Research Center,https://ohsu-psu-sph.org/gun-violence-prevention-research,ohsu-psu-sph.org,university research center,gun violence and firearm injury prevention,high,OHSU-PSU School of Public Health center using epidemiology for firearm injury prevention
Center for Public Safety Research | Clemson University,https://www.clemson.edu/cbshs/departments/sacj/research/justice.html,clemson.edu,university research center,public safety research; criminal justice research; violence prevention,high,University center providing public safety research evaluation and criminal justice technical assistance
Health Alliance for Violence Intervention (HAVI),https://www.thehavi.org,thehavi.org,research and advocacy nonprofit,firearm violence prevention research partnerships,high,National alliance building community partnerships for firearm violence prevention research
Johns Hopkins Center for Gun Policy and Research,https://publichealth.jhu.edu/departments/health-policy-and-management/about/center-for-gun-violence-prevention-and-policy,jhu.edu,university research center,gun violence prevention research; safety outcomes research,high,Johns Hopkins Bloomberg School of Public Health center for gun violence prevention and policy research
Everytown Research & Policy,https://everytownresearch.org,everytownresearch.org,policy research organization,gun violence prevention research; firearm injury prevention,high,Research and policy arm of Everytown focused on gun violence prevention evidence
Sandy Hook Promise,https://www.sandyhookpromise.org,sandyhookpromise.org,violence prevention nonprofit,gun violence prevention research and programs,high,National violence prevention organization with dedicated research and program evaluation work
National Offices of Violence Prevention Network,https://www.ovpnetwork.org,ovpnetwork.org,network of state violence prevention offices,firearm injury prevention; violence prevention,medium,Network of state offices of violence prevention including firearm injury prevention offices
Begun Center for Violence Prevention Research and Education | Case Western Reserve University,https://case.edu/socialwork/begun,case.edu,university research center,violence prevention research; criminal justice; trauma-informed practices,high,Mandel School research center for violence prevention research and education
Everytown for Gun Safety,https://everytown.org,everytown.org,gun violence prevention organization,firearm injury prevention; public safety advocacy,high,Largest national gun violence prevention organization; parent entity of Everytown Research & Policy
Public Safety Research Center (PSRC) | University of Cincinnati,https://ucdigitalfutures.com/public-safety-lab,ucdigitalfutures.com,university research center,public safety research; law enforcement policy research,high,School of Criminal Justice center developing research and technology for 21st-century public safety
Justice Policy Institute,https://www.justicepolicy.org,justicepolicy.org,justice policy institute,criminal justice research; justice policy,medium,Nonprofit criminal justice policy research organization; Google results also surfaced grantee and social profiles; LinkedIn indicated operations ceased August 2025
National Association of Professional Staff in Public Safety (NAPSPS),https://napsps.org,napsps.org,professional association,public safety workforce; law enforcement support services,low,National association for civilian public safety professionals; membership organization rather than primary research center
