organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
10x Genomics,10xgenomics.com,https://www.10xgenomics.com,pharma_biotech,Biotech Companies; Delivering powerful reliable tools that fuel scientific discoveries and drive exponential progress; Genomics,high,Genomics and biology tools company; Genomics tools
1st Providers Choice,1stproviderschoice.com,https://www.1stproviderschoice.com,clinical_informatics_healthit,Healthcare Software; EHR and practice management with health information exchange capabilities,high,Ambulatory EHR and HIE services vendor
1upHealth,1up.health,https://1up.health/careers/,Digital Health,Digital Health,medium,Patient data aggregation
23andMe Inc,23andme.com,https://www.23andme.com/careers/,Biotech Companies,Biotech Companies; Digital Health,medium,Genomics
4Medica,4medica.com,https://www.4medica.com,clinical_informatics_healthit,Interoperability; Health information exchange and interoperability solutions for healthcare data sharing,high,HIE and interoperability technology vendor
98point6,98point6.com,https://www.98point6.com/about-us/careers/,Digital Health,Digital Health; Greenhouse (embedded),medium,Text-based telehealth; failure_reason=no_matching_roles
Abbott Core Laboratory,abbott.com,https://corelaboratory.abbott.com,med_device_diagnostics,Diagnostics; Laboratory diagnostic solutions; Pharmaceutical Companies; Workday (embedded; blocked API),high,Abbott laboratory diagnostics division; Device/diagnostics; failure_reason=no_matching_roles
AbbVie,abbvie.com,https://www.abbvie.com,pharma_biotech,Combines advanced science with expertise to make strides in drug and treatment discovery; Custom; Pharmaceutical; Pharmaceutical Companies,high,HEOR; Major pharmaceutical company; failure_reason=no_matching_roles
Abridge,abridge.com,https://www.abridge.com,ai_clinical_datascience,Clinical NLP; Digital Health; Generative AI for Clinical Conversations - transforms clinical documentation,high,Clinical AI documentation; Company homepage; page 4
Abt Global Federal,abtglobal.com,https://www.abtglobal.com/careers,Federal Contractors,Consulting; Federal Contractors; HEOR; Oracle Recruiting; RWE; Research Organizations,medium,Federal health; Federal health evaluation; Federal health research; Federal health research/contractor; failure_reason=no_matching_roles
AcademyHealth,academyhealth.org,https://academyhealth.org,org_harvest,AcademyHealth; Government; Nonprofit; Public Health; Unknown,high,Annual Research Meeting is major HSR conference; Fetch: HTTP Error 403: Forbidden; Membership org; Professional organization for health services researchers; Professional organization strengthening health services research; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Accenture,accenture.com,https://www.accenture.com/industries/public-service,consulting_federal,Consulting; Federal Contractors; HEOR; Public Sector Consulting; Public sector consulting services; RWE; Workday,high,Federal health research/contractor; Life sciences consulting; Major consulting firm with government services practice; Workday; failure_reason=no_matching_roles
