employer,job_title,url,remote_status,salary,role_family,search_term,why_potentially_relevant,risk_or_concern,source_queue,agent
Mathematica Federal,Advisory Services Analyst - Medicare Value-Based Care,https://mathematica.csod.com/ux/ats/careersite/4/home?c=mathematica,Remote Eligible,,Federal Health Policy,Medicaid Medicare,Medicare value-based care analytics and advisory services - health policy analysis,Senior level may be preferred,D,expansion_D
Mathematica Federal,Quantitative Research Analyst Education & Employment,https://mathematica.csod.com/ux/ats/careersite/4/home?c=mathematica,Remote Eligible,,Research,research analytics,Quantitative research analyst - could involve health-adjacent program evaluation,Education focus not health,D,expansion_D
Mathematica Federal,Advisory Services Analyst / Project Management Analyst - State Health & Medicaid,https://mathematica.csod.com/ux/ats/careersite/4/home/requisition/3387,Remote Eligible,,Federal Health Policy,Medicaid analytics,State health and Medicaid program advisory services and project management - direct Medicaid policy work,,D,expansion_D
Mathematica Federal,Advisory Services Analyst - State Health & Medicaid,https://mathematica.csod.com/ux/ats/careersite/4/home?c=mathematica,Remote Eligible,,Federal Health Policy,Medicaid analytics,State health and Medicaid program advisory services - health policy analysis for state Medicaid programs,,D,expansion_D
Mathematica Federal,Policy Associate Medicare Value-Based Care,https://mathematica.csod.com/ux/ats/careersite/4/home?c=mathematica,Remote Eligible,,Federal Health Policy,policy Medicare,Medicare value-based care policy analysis and research,May be junior level,D,expansion_D
Mathematica Federal,Data Analytics Developer,https://mathematica.csod.com/ux/ats/careersite/4/home?c=mathematica,Remote Eligible,,Data Science,data analytics,Data analytics development - likely health data given Mathematica focus,More technical developer role,D,expansion_D
Mathematica Federal,Data Analytics Developer - Education & Employment,https://mathematica.csod.com/ux/ats/careersite/4/home?c=mathematica,Remote Eligible,,Data Science,data analytics,Data analytics developer for education and employment programs,Non-health focus,D,expansion_D
Mathematica Federal,Statistical Analyst,https://mathematica.csod.com/ux/ats/careersite/4/home?c=mathematica,Remote Eligible,,Biostatistics,biostatistics analyst,Statistical analysis - likely health research given Mathematica portfolio,Analyst level,D,expansion_D
Mathematica Federal,Sr. Data Analytics Developer,https://mathematica.csod.com/ux/ats/careersite/4/home?c=mathematica,Remote Eligible,,Data Science,data analytics,Senior data analytics developer - health data analytics,More technical developer role,D,expansion_D
Milliman,Data Analytics Manager (Health Research Team),https://recruiting2.ultipro.com/MIL1017/JobBoard/if54234e9-dfde-b183-fd20-4fbdb19eba7a/OpportunityDetail?opportunityId=DATAA010416,Remote,,"Health Analytics, HEOR",health analytics,Lead Health Research Team data analytics - managing team of 2-4 analysts for health data research products,Manager level,D,expansion_D
Modern Health,Data Analyst,https://job-boards.greenhouse.io/modernhealth,Remote,,"Data Science, Analytics",remote,Data analyst role for mental health platform - engineering team,May be more technical than research-focused,D,expansion_D
Novartis,Director Health Economics and Outcomes Research (HEOR),https://www.novartis.com/careers/career-search/job/details/req-10076872-director-health-economics-and-outcomes-research-heor,Remote US,,"HEOR, Health Economics",HEOR outcomes,HEOR Product Lead for cardiovascular product - value evidence strategy and medical alignment with 25% travel,"Advanced degree required (MS/PhD), Director level",D,expansion_D
OPEN Health,Director HEOR - Medical Communications,https://www.career.com/job/open-health/director-heor-medical-communications/j202501151943543159743,remote unclear,,"HEOR, Medical Communications",HEOR medical writer,Lead HEOR writing team for value communications - RWE focused content creation for pharma clients,Unverified third-party listing; official OPEN Health careers SSL blocked,D,expansion_D
Oxford PharmaGenesis,Associate Medical Director,https://careers.pharmagenesis.com/vacancies/1341/associate-medical-director.html,Remote - Americas,,"Medical Writing, Medical Director",medical writer,Associate Medical Director for oncology-focused publications - strategic advisory and content development leadership,"PhD/MD/PharmD required, mentor/leadership experience",D,expansion_D
p-value group,Senior Medical Writer,https://www.p-valuegroup.com,remote unclear,$81K-$130K,"Medical Writing, Medical Communications",medical writer,Senior medical writer for full-service medical communications and speakers bureau work,No dedicated careers page found; salary from aggregator,D,expansion_D
