employer,job_title,url,remote_status,salary,role_family,search_term,why_potentially_relevant,risk_or_concern,source_queue,agent
Truveta,truveta.com,Sr. Clinical Data Scientist Applied Intelligence Solutions,https://job-boards.greenhouse.io/truveta/jobs/5806351004,Remote US,$155000-$170000,Healthcare Analytics/HEOR,data,HEOR clinical research and real-world data decision support; EHR-scale analytics,Hybrid model with annual onsite meeting; Pacific-time meeting bias,job_search_queue_F,expansion_F
Truveta,truveta.com,Senior Applied Research Scientist Oncology,https://job-boards.greenhouse.io/truveta/jobs/5735595004,Remote US,remote unclear,Research & Statistics,epidemiology,PhD/MD epidemiology HEOR biostatistics on 100M+ patient oncology EHR dataset; RWE generation,Advanced degree and causal inference experience required; salary not listed,job_search_queue_F,expansion_F
Truveta,truveta.com,Applied Research Scientist Life Science Partnerships,https://job-boards.greenhouse.io/truveta/jobs/5977882004,Remote US,remote unclear,Research & Statistics,research,Customer-facing RWE studies with life sciences partners; epidemiology/biostatistics background,Customer-facing role; large-scale distributed data experience required,job_search_queue_F,expansion_F
Truveta,truveta.com,ML Postdoc Researcher Healthcare AI Innovation,https://job-boards.greenhouse.io/truveta/jobs/5978375004,Remote US,remote unclear,Research & Statistics,research,Healthcare AI/ML on large clinical datasets; publication-focused research,Postdoctoral temporary role; PhD graduate required,job_search_queue_F,expansion_F
Worldwide Clinical Trials,worldwide.com,Clinical Scientist Oncology US Remote,https://www.worldwide.com,Remote US,remote unclear,Research & Statistics,epidemiology,Oncology clinical science with epidemiology/research overlap in CRO setting,Salary not listed; clinical trial operations overlap possible,job_search_queue_F,expansion_F
Worldwide Clinical Trials,worldwide.com,Program Clinical Data Manager US Remote,https://www.linkedin.com/jobs/view/program-clinical-data-manager-us-remote-at-worldwide-clinical-trials-4240279781,Remote US,remote unclear,Healthcare Analytics,data,Clinical data management and programming in global CRO,Data management vs pure analytics; verify full-time status,job_search_queue_F,expansion_F
Worldwide Clinical Trials,worldwide.com,Manager Clinical Database Programming,https://www.worldwide.com,remote unclear,remote unclear,Healthcare Analytics,biostatistics,SAS clinical database programming leadership in CRO,Triangle NC listed; remote status unclear on posting,job_search_queue_F,expansion_F
UnitedHealthcare,uhc.com,Health Data Analytics Consultant Remote,https://careers.unitedhealthgroup.com/job/reston/health-data-analytics-consultant-remote/34088/94828967984,Remote US,remote unclear,Healthcare Analytics,analytics,Medicare/Medicaid payment models quality metrics claims/enrollment analytics; Python SQL R,Federal contract focus may impose clearance/citizenship requirements,job_search_queue_F,expansion_F
UnitedHealthcare,uhc.com,Senior Value-Based Healthcare Data Analyst Remote,https://careers.unitedhealthgroup.com/job/pearland/senior-value-based-healthcare-data-analyst-remote/34088/96180583552,Remote US (Texas),remote unclear,Healthcare Analytics,quality,HEDIS quality measurement value-based care NCQA CMS reporting; biostatistics/health informatics preferred,Geographic emphasis on Texas/Pearland location,job_search_queue_F,expansion_F
UnitedHealthcare,uhc.com,Principal Research Data Scientist Remote,https://careers.unitedhealthgroup.com/job/eden-prairie/principal-research-data-scientist-remote/34088/95338507728,Remote US with hybrid requirement,remote unclear,Research & Statistics,HEOR,Optum HORA HEOR administrative claims real-world data methodologies,Hybrid 4 days/week Minneapolis or DC office requirement,job_search_queue_F,expansion_F
UnitedHealthcare,uhc.com,Healthcare Economics Consultant Remote,https://careers.unitedhealthgroup.com/job/minnetonka/healthcare-economics-consultant-remote/34088/94855103152,Remote US with hybrid requirement,remote unclear,Research & Statistics,HEOR,Healthcare economics analytics SQL SAS Snowflake medical claims,Hybrid 4 days/week office requirement; 3+ years experience,job_search_queue_F,expansion_F
UnitedHealthcare,uhc.com,Sr. Principal Data Scientist Remote,https://careers.unitedhealthgroup.com/job/minnetonka/sr-principal-data-scientist-remote/34088/95426609072,Remote US with hybrid requirement,remote unclear,Healthcare Analytics,biostatistics,Population health cost-of-care analytics claims and clinical data,Hybrid office requirement; 10% travel,job_search_queue_F,expansion_F
UPMC Health Plan,upmchealthplan.com,Business Analyst Remote Fraud Waste and Abuse,https://www.careerbuilder.com/job-details/business-analyst-remote-pittsburgh-pa--4bda3449-a6d7-4091-bc6b-47e35e382dac,Remote US,remote unclear,Healthcare Analytics,analyst,Large healthcare dataset analysis Medicaid Medicare CHIP regulatory reporting,Narrow FWA compliance specialty,job_search_queue_F,expansion_F
UPMC Health Plan,upmchealthplan.com,Senior Business Intelligence Analyst Remote,https://remotive.com/remote/jobs/data/senior-business-intelligence-analyst-3780319,Remote US,remote unclear,Healthcare Analytics,analytics,SQL PowerBI Cognos complex analysis for outcomes and business decisions,May be HR/operations analytics rather than clinical research,job_search_queue_F,expansion_F
