organization,visible_url,domain,organization_type,confidence,notes
"VCU School of Public Health","https://sph.vcu.edu","vcu.edu","School of Public Health","high","Virginia Commonwealth University"
"University of Maryland School of Public Health","https://sph.umd.edu","umd.edu","School of Public Health","high","College Park, Maryland"
"University of Wisconsin Population Health Institute","https://uwph.pophealth.wisc.edu","wisc.edu","Population Health Institute","high","Translates research for policy"
"Yale School of Public Health","https://ysph.yale.edu","yale.edu","School of Public Health","high","Ivy League public health school"
"University of Pittsburgh School of Public Health","https://www.publichealth.pitt.edu","pitt.edu","School of Public Health","high","Pennsylvania consortium coordinator"
"WVU School of Public Health","https://publichealth.wvu.edu","wvu.edu","School of Public Health","high","Only SPH in West Virginia"
"UAMS Translational Research Institute","https://tri.uams.edu","uams.edu","Translational Research Institute","high","University of Arkansas for Medical Sciences"
"Harvard T.H. Chan School of Public Health","https://hsph.harvard.edu","hsph.harvard.edu","School of Public Health","high","Harvard public health school"
"University of Michigan School of Public Health","https://sph.umich.edu","sph.umich.edu","School of Public Health","high","Top-ranked public health school"
"AdventHealth Translational Research Institute","https://www.adventhealth.com/institutes/translational-research","adventhealth.com","Translational Research Institute","high","Health system research institute"
"Indiana University School of Public Health-Bloomington","https://publichealth.indiana.edu","publichealth.indiana.edu","School of Public Health","high","IU Bloomington campus"
"MedStar Health Research Institute","https://www.medstarhealth.org/innovation-and-research","medstarhealth.org","Research Institute","high","MHRI across 300+ sites of care"
"Texas A&M School of Public Health","https://public-health.tamu.edu","tamu.edu","School of Public Health","high","Largest SPH in Texas"
"University of Washington School of Public Health","https://sph.washington.edu","sph.washington.edu","School of Public Health","high","Pacific Northwest public health school"
"Boston University School of Public Health","https://www.bu.edu/sph","bu.edu","School of Public Health","high","Urban public health school"
"University of Minnesota School of Public Health","https://www.sph.umn.edu","sph.umn.edu","School of Public Health","high","Nationally top-ranked programs"
"UConn Health Clinical Research Center","https://health.uconn.edu/clinical-research-center","uconn.edu","Clinical Research Center","high","University of Connecticut"
"UTHealth Houston School of Public Health","https://sph.uth.edu","sph.uth.edu","School of Public Health","high","Texas publicly funded graduate school"
"University of Alabama at Birmingham School of Public Health","https://www.uab.edu/soph","uab.edu","School of Public Health","high","Southeastern public health school"
"SUNY Downstate Health Sciences University","https://www.downstate.edu","downstate.edu","School of Public Health","high","Brooklyn academic health center"
"University of Illinois Chicago School of Public Health","https://publichealth.uic.edu","publichealth.uic.edu","School of Public Health","high","Health equity and social justice focus"
"UC Berkeley School of Public Health","https://publichealth.berkeley.edu","berkeley.edu","School of Public Health","high","UC Berkeley public health"
"University of Nevada Reno School of Public Health","https://www.unr.edu/public-health","unr.edu","School of Public Health","high","CEPH-accredited programs"
"SRI International","https://www.sri.com","sri.com","Research Institute","medium","Independent nonprofit R&D institute"
"Washington University Bursky School of Public Health","https://publichealth.wustl.edu","wustl.edu","School of Public Health","high","WashU interdisciplinary public health"
"Georgia State University School of Public Health","https://publichealth.gsu.edu","publichealth.gsu.edu","School of Public Health","high","Urban public health school Atlanta"
"Brown University School of Public Health","https://sph.brown.edu","sph.brown.edu","School of Public Health","high","Ivy League public health"
"UCLA Fielding School of Public Health","https://ph.ucla.edu","ucla.edu","School of Public Health","high","UC Los Angeles public health"
