organization,visible_url,domain,organization_type,health_system_type,confidence,notes
University of Virginia Health System,https://www.medicalcenter.virginia.edu › population-health,medicalcenter.virginia.edu,Academic Hospital,Integrated Academic Health System,high,Nationally ranked academic medical center with Level I trauma center and population health program
Veterans Health Administration,https://www.research.va.gov,va.gov,VA Medical Center,Integrated Federal Health System,high,Operates 115+ VA facilities nationwide including Washington VA and Central Virginia VA Health Care System
NIH Clinical Center,https://www.cc.nih.gov,nih.gov,Specialty Hospital,Federal Research Hospital,high,Premier U.S. hospital for clinical research located in Bethesda MD
VCU Health,https://www.vcuhealth.org,vcuhealth.org,Academic Hospital,Academic Medical Center,high,Virginia Commonwealth University Health System with discovery and innovation focus
Children's National,https://www.childrensnational.org › about-us,childrensnational.org,Children's Hospital,Standalone Children's Hospital,high,Washington D.C. region's only standalone children's hospital serving 250000+ kids annually
MedStar Health,https://www.medstarhealth.org › innovation-and-research,medstarhealth.org,Hospital System,Integrated Delivery Network,high,Research institute supporting clinical research throughout the MedStar Health system
Cheshire Medical Center,https://www.cheshiremed.org › about › center-population,cheshiremed.org,Regional Health System,Community Hospital,high,Non-profit medical center with Center for Population Health in Monadnock Region
Walter Reed National Military Medical Center,https://walterreed.tricare.mil,walterreed.tricare.mil,VA Medical Center,Military Medical Center,high,Defense Health Agency component and premier military treatment facility
Dartmouth-Hitchcock Medical Center,https://www.dartmouth-hitchcock.org › about › population,dartmouth-hitchcock.org,Academic Hospital,Academic Medical Center,high,Population Health team convenes health system and community leaders for evidence-based programs
CentraCare Health System,https://www.centracare.com,centracare.com,Hospital System,Regional Health System,medium,Major regional health system in Minnesota identified via research profile
HCA Midwest Health - Research Medical Center,https://www.hcamidwest.com › locations › research-medical,hcamidwest.com,Regional Health System,HCA Healthcare System,high,Kansas City Research Medical Center part of HCA Midwest
Inova Health System,https://www.inova.org,inova.org,Hospital System,Integrated Delivery Network,high,Northern Virginia IDN including Inova L.J. Murphy Children's Hospital and multiple regional facilities
University of Kansas Medical Center,https://www.kumc.edu › academics › departments › population,kumc.edu,Academic Hospital,Academic Medical Center,high,University of Kansas Health System with Cancer Center and population health program
University of Maryland Medical System,https://www.umms.org › health-services › population-health,umms.org,Academic Hospital,Academic Health System,high,Multi-hospital academic system enabling best practices across Maryland communities
Children's Hospital of Philadelphia,https://www.research.chop.edu,research.chop.edu,Children's Hospital,Academic Medical Center / Pediatric Specialty Hospital,high,Major pediatric research institute with biostatistics and data management programs
Cincinnati Children's Hospital,https://www.cincinnatichildrens.org,cincinnatichildrens.org,Children's Hospital,Academic Medical Center / Pediatric Specialty Hospital,high,Office of Population Health focus at major children's hospital system
RWJBarnabas Health,https://www.rwjbh.org,rwjbh.org,Hospital System,Regional Health System,medium,New Jersey academic health system including Jersey City Medical Center with population health focus
Georgetown University Medical Center,https://gumc.georgetown.edu,georgetown.edu,Academic Hospital,Academic Health System / Teaching Hospital,high,Catholic academic medical center and MedStar Health partner
Children's Hospital at Montefiore,https://www.cham.org,cham.org,Children's Hospital,Academic Children's Hospital,high,Community and Population Health expertise within Montefiore system in Bronx NY
Seattle Children's,https://www.seattlechildrens.org,seattlechildrens.org,Children's Hospital,Pediatric Academic Medical Center,high,Top-ranked children's hospital with foundation and research institute
Boston Children's Hospital,https://www.childrenshospital.org,childrenshospital.org,Children's Hospital,Academic Pediatric Medical Center,high,Major academic children's hospital focused on improving health and well-being
NYU Langone Health,https://med.nyu.edu,nyulangone.org,Academic Hospital,Academic Health System,high,Department of Population Health at major NYC academic medical center
Lurie Children's Hospital,https://research.luriechildrens.org,luriechildrens.org,Children's Hospital,Academic Pediatric Medical Center,high,Stanley Manne Children's Research Institute with child health outcomes focus
University of Mississippi Medical Center,https://umc.edu,umc.edu,Academic Hospital,Academic Health System / Teaching Hospital,high,John D. Bower School of Population Health
Cheyenne Regional Medical Center,https://www.cheyenneregional.org,cheyenneregional.org,Regional Health System,Community Health System / Regional Medical Center,high,Wyoming Institute of Population Health and population health management focus
Cedar Hill Regional Medical Center,https://strategicplan.gwu.edu,gwu.edu,Regional Health System,Community/Regional Medical Center,medium,Population Health and Health Equity strategic plan with George Washington University affiliation
Mount Sinai Health System,https://www.mountsinai.org,mountsinai.org,Hospital System,Academic Health System / Integrated Delivery Network,high,Icahn School of Medicine including Mount Sinai Kravis Children's Hospital
Penn Medicine,https://www.med.upenn.edu,pennmedicine.org,Academic Hospital,Academic Health System,high,University of Pennsylvania Perelman School of Medicine with Learning Health System Science
Boston Medical Center,https://www.bmc.org,bmc.org,Academic Hospital,Safety-Net Hospital / Academic Medical Center,high,Population Health team focused on community care
Arkansas Children's Hospital,https://www.archildrens.org,archildrens.org,Children's Hospital,Pediatric Hospital System,high,Research and foundation with multiple Arkansas locations
Vanderbilt University Medical Center,https://www.vumc.org,vumc.org,Academic Hospital,Academic Health System,high,Vanderbilt Institute for Population and Public Health including children's hospital
University of Utah Health,https://healthcare.utah.edu,healthcare.utah.edu,Academic Hospital,Academic Health System,high,Academic medical center with patient care education and research expertise
Northwell Health,https://www.northwell.edu,northwell.edu,Hospital System,Integrated Delivery Network / Regional Health System,high,Tri-state NY health system with top-rated hospitals
Penn State Health,https://www.pennstatehealth.org,pennstatehealth.org,Academic Hospital,Academic Medical Center / Health System,high,Pennsylvania academic health system
Cedars-Sinai,https://www.cedars-sinai.edu,cedars-sinai.edu,Academic Hospital,Academic Medical Center,high,Los Angeles academic medical center
Rush University System for Health,https://www.rush.edu,rush.edu,Academic Hospital,Academic Medical Center / Health System,high,Chicago academic medical center and health system
