organization,visible URL,domain,organization type,specialty,confidence,notes
AiCare,https://aicare.co,aicare.co,Healthcare AI,Active Intelligence Platform for wearable sensor data and clinical outcome prediction,High,Company homepage; page 1
Aidoc,https://www.aidoc.com,aidoc.com,Clinical AI,Clinical AI for healthcare providers - medical imaging and workflow optimization,High,Company homepage; page 1
Sword Health,https://swordhealth.com,swordhealth.com,Healthcare AI,AI-powered care coordination and personalized care,High,Company homepage; page 1
John Snow Labs,https://www.johnsnowlabs.com,johnsnowlabs.com,Healthcare AI,Healthcare AI company for rapid adoption of AI in healthcare and life sciences with high-compliance solutions,High,Company homepage; page 1
Heidi,https://www.heidihealth.com,heidihealth.com,Clinical AI,AI Care Partner for Modern Clinical Practice - clinical documentation to evidence,High,Company homepage; page 1
Viz.ai,https://www.viz.ai,viz.ai,Clinical AI,AI-powered care coordination platform for disease detection and workflow optimization,High,Company homepage; page 2
Ellipsis Health,https://ellipsishealth.com,ellipsishealth.com,Healthcare AI,AI Care Manager for emotionally intelligent care management,High,Company homepage; page 2
Tempus,https://www.tempus.com,tempus.com,Biomedical Data Science,AI-Powered Precision Medicine and Genomic Testing - clinical and molecular data library,High,Company homepage; page 2
AI Care Standard,https://aicarestandard.com,aicarestandard.com,Clinical AI,Framework for safe and clinically responsible AI-driven patient communication,High,Company homepage; page 2
AI Care,https://care-iq.com,care-iq.com,Imaging AI,Deep learning for medical imaging analysis (X-rays MRIs CT scans),High,Company homepage; page 2
Hippocratic AI,https://hippocraticai.com,hippocraticai.com,Healthcare AI,Safest Generative AI Healthcare Agent for health systems payors and pharma,High,Company homepage; page 2
WTT Solutions,https://wtt-solutions.com,wtt-solutions.com,Predictive Analytics,Predictive Analytics Healthcare Company - advanced healthcare analytics for patient outcomes,High,Company homepage; page 3
Abridge,https://www.abridge.com,abridge.com,Clinical NLP,Generative AI for Clinical Conversations - transforms clinical documentation,High,Company homepage; page 4
Fabric Health,https://www.fabrichealth.com,fabrichealth.com,Healthcare AI,Healthcare experience optimization - acquired conversational AI care assistant GYANT,High,Company homepage; page 5
Ambience Healthcare,https://www.ambiencehealthcare.com,ambiencehealthcare.com,Clinical AI,AI clinical documentation and ambient care,High,Company homepage; page 5
Ivy AI Solutions,https://www.ivyai.hk,ivyai.hk,Healthcare AI,ISO-Certified Healthcare AI Company - CBC Multi-Cancer Screen surfaces,High,Company homepage; Hong Kong-based; page 8
AnalytAIX,https://analytaix.com,analytaix.com,Healthcare AI,Healthcare AI solutions delivering multilingual culturally aware AI,High,Company homepage; page 8
Mila Health,https://milahealth.com,milahealth.com,Healthcare AI,AI Care Coordination for Payers and Providers - care gap closure outreach follow-up,High,Company homepage; page 8
Pythagoras AI,https://getpythagoras.ai,getpythagoras.ai,Healthcare AI,Fully managed AI care agents - clinical and administrative conversations via voice and text,High,Company homepage; page 9
Aim,https://weaim.io,weaim.io,Healthcare AI,AI Care Manager platform - automate scheduling care planning compliance and billing,High,Company homepage; page 9
Prognos Health,https://prognoshealth.com,prognoshealth.com,Healthcare AI,Healthcare analytics and diagnostics innovator,Medium,Press release reference in SERP; company homepage confirmed; page 10
Rivvi,https://rivvi.ai,rivvi.ai,Healthcare AI,Conversational AI infrastructure for healthcare with 2M+ patient interactions,High,Company homepage; page 10
Carenostics,https://www.carenostics.com,carenostics.com,Healthcare AI,Chronic disease management - undertreated chronic disease focus,High,Company homepage; $5M funding noted in SERP; page 11
Zynix AI,https://zynix.ai,zynix.ai,Healthcare AI,Value-based care and ACO management for 1M+ patients across 30 states,High,Company homepage; page 11
Tulu Health,https://tuluhealth.com,tuluhealth.com,Healthcare AI,Deploying 27 specialized AI agents for RCM patient growth and clinical operations,High,Company homepage; page 12
Ufonia,https://ufonia.com,ufonia.com,Healthcare AI,Scaling AI care with 150000+ patient conversations,Medium,Company homepage; page 12
AuroraMed,https://auroramed.pt,auroramed.pt,Healthcare AI,Clinician empowerment - trusted AI for medicine founded by physician/engineer,High,Portuguese healthcare AI company; page 12
Hermes Health,https://hermes.health,hermes.health,Healthcare AI,AI-Care cooperative cloud-based platform for preventive and precision healthcare management,High,Company homepage; page 12
SmarterDx,https://smarterdx.com,smarterdx.com,Healthcare AI,Generational healthcare AI built by physician co-founders with technical depth,High,Company homepage; page 13
Kaigo Health,https://kaigohealth.com,kaigohealth.com,Healthcare AI,AI Care Workforce automating follow-ups check-ins and monitoring for home care,High,Company homepage; page 13
Elix,https://elix.ai,elix.ai,AI Drug Discovery,Drug discovery collaboration with Tohoku University joint research agreement,High,Company homepage; page 14
Inbound Health,https://inboundhealth.com,inboundhealth.com,Healthcare AI,AI care at home solutions for hospital overcrowding and new care models,Medium,Company homepage; page 14
Digital Diagnostics,https://digitaldiagnostics.com,digitaldiagnostics.com,Diagnostics AI,Leading AI diagnostics company transforming quality accessibility and affordability,High,Formerly IDx; company homepage; page 14
Calveint,https://calveint.com,calveint.com,Healthcare AI,Intelligent document processing AI Fax and agentic AI workflows,High,Company homepage; page 15
Anterior,https://anterior.com,anterior.com,Predictive Analytics,Predictive analytics for orthopedic surgery planning,High,Company homepage; page 15
Harrison.ai,https://harrison.ai,harrison.ai,Clinical AI,Clinician-led healthcare AI with industry advisory focus,High,Company homepage; page 15
Healx,https://healx.io,healx.io,AI Drug Discovery,AI drug discovery for neurofibromatosis and rare disease,High,Company homepage; $47M raise noted in SERP; page 16
Karias Health,https://kariashealth.com,kariashealth.com,Healthcare AI,Faith AI Care Companion - listens during clinical visits summarizes and guides next steps,High,Company homepage; page 17
