organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Foundation for Sarcoidosis Research,stopsarcoidosis.org,https://www.stopsarcoidosis.org/patient-registry,rwd_registry,Patient Registry; Sarcoidosis,high,FSR patient registry for sarcoidosis research
Foundation Medicine,foundationmedicine.com,https://www.foundationmedicine.com,digital_health,Biotech Companies; Custom; Digital Health; Genomic profiling and precision oncology; Molecular Diagnostics; Molecular profiling and companion diagnostics for cancer treatment; Other,high,FDA-cleared companion diagnostics; Genomics; Roche subsidiary focused on cancer care; failure_reason=no_matching_roles
Fox Chase Cancer Center,foxchase.org,https://www.foxchase.org/careers,Hospital Systems,Hospital Systems,medium,Hospital/cancer center; population health research
Fralin Biomedical Research Institute at VTC,vt.edu,https://fbri.vtc.vt.edu,academic,Academic Medical Centers; Research Institute; Workday,high,SPH/Medicine; Virginia Tech biomedical research; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Franciscan Health,franciscanhealth.org,https://www.franciscanhealth.org/careers,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>; population health research
Fred Hutchinson Cancer Center,fredhutch.org,https://careers.fredhutch.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; Seattle cancer research; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Froedtert Hospital,froedtert.com,https://jobs.froedtert.com/,Academic Medical Centers,Academic Medical Centers; Hospital Systems; Workday,medium,Academic medical center; Wisconsin AMC; failure_reason=no_matching_roles
FTI Consulting,fticonsulting.com,https://www.fticonsulting.com,consulting_federal,Consulting; HEOR; Public Sector Consulting; Public sector and government contract management; RWE; Workday (embedded; blocked API),high,Life sciences advisory; Major consulting firm with government contracts practice; failure_reason=no_matching_roles
Fujifilm Healthcare,fujifilm.com,https://healthcaresolutions.fujifilm.com,med_device_diagnostics,Imaging Diagnostics; Medical imaging solutions from DR detectors to mobile DR solutions,high,Diagnostic imaging portfolio
Garner Health,getgarner.com,https://www.getgarner.com/careers,Digital Health,Digital Health; Greenhouse,medium,Digital health/RWE; Provider navigation; failure_reason=no_matching_roles
Gavi the Vaccine Alliance,gavi.org,https://www.gavi.org,global_health_ngo,Global Health; Vaccine access and immunization systems strengthening,high,Public-private vaccine alliance
GCI Health,gcihealth.com,https://www.gcihealth.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 403: Forbidden
