organization,visible_url,domain,organization_type,specialty,confidence,notes
Epic Systems,https://www.epic.com,epic.com,EHR,Comprehensive electronic health record software platform,High,Major EHR vendor
Civitas Networks for Health,https://www.civitasforhealth.org,civitasforhealth.org,HIE,Health information exchange facilitating secure clinical data sharing,High,Regional and national HIE network organization
Camden Coalition,https://www.camdenhealth.org,camdenhealth.org,HIE,Health information exchange and care coordination for complex patients,Medium,Community-based HIE and care management organization
Contexture,https://www.contexture.org,contexture.org,HIE,Regional health information exchange enabling delivery of health information,High,Multi-state regional HIE
Oracle Health,https://www.oracle.com/health/,oracle.com,EHR,Enterprise EHR and healthcare cloud applications (formerly Cerner),High,Major EHR vendor and health IT platform
MEDITECH,https://ehr.meditech.com,ehr.meditech.com,EHR,Electronic health record platform unifying clinical and operational data,High,Established acute and ambulatory EHR vendor
Independence Health System,https://www.independence-health.org,independence-health.org,HIE,Health information exchange allowing secure patient data access,Medium,Health system operating HIE services
IQVIA,https://www.iqvia.com,iqvia.com,Clinical Data Platform,Healthcare data technology analytics and clinical research platforms,High,Major healthcare data and analytics company
The SSI Group,https://www.thessigroup.com,thessigroup.com,Healthcare Software,Revenue cycle management eligibility verification and EHR integrations,High,Healthcare IT services and software vendor
Trenton Health Team,https://www.trentonhealthteam.org,trentonhealthteam.org,HIE,Regional health information exchange database for medical information sharing,High,Regional HIE organization
ClinicalConnect HIE,https://www.clinicalconnecthie.com,clinicalconnecthie.com,HIE,Secure health information exchange for regional healthcare provider networks,High,Regional HIE serving Western Pennsylvania
Orion Health,https://www.orionhealth.com,orionhealth.com,Interoperability,Health information exchange platform for unified health data and insights,High,Global health IT interoperability vendor
CRISP,https://www.crisphealth.org,crisphealth.org,HIE,State-designated health information exchange and health data utility,High,Maryland statewide HIE
ChartSwap,https://www.chartswap.com,chartswap.com,HIE,Platform for electronic health record request and release management,High,HIE and medical records exchange platform
Synapse Health,https://equip.synapsehealth.com,equip.synapsehealth.com,Health IT,Patient data integration and healthcare connectivity solutions,High,Healthcare data integration platform
