employer,ats_observed,search_status,title,url,remote_status,salary,terms_searched,qualifies_remote_us,notes
Abbott,Workday (custom jobs.abbott.com),ROLES_FOUND,North America HEOR Manager,https://jobs.abbott.com/us/en/job/31153629/North-America-HEOR-Manager,"On-site (Alameda, CA)",n/a,epidemiology; data scientist,no - onsite,epidemiology=3 hits; data scientist=877 (too broad)
Accenture Federal Health,Custom Accenture portal,SEARCHED_NO_MATCH,,,,,epidemiology; public health,no,epidemiology=0; public health=2 irrelevant (consulting/HSE)
AdventHealth,Workday (jobs.adventhealth.com),ROLES_FOUND,Health Economist,https://jobs.adventhealth.com/job/23099292/health-economist/,"Fully Remote (Orlando, FL)","$91,313.86 - $169,845.73",epidemiology,YES,epidemiology=104 hits; strongest qualifying remote-US match
Agilon Health,Workday (agilonhealth.wd1.myworkdayjobs.com),SEARCHED_NO_MATCH,,,,,epidemiology,no,"epidemiology=0; 18 total jobs, none matching"
Amentum Federal Health,Custom (amentumcareers.com),SEARCHED_NO_MATCH,,,,,epidemiology,no,epidemiology=0; federal/defense/engineering focus
Apellis Pharmaceuticals,Custom (apellis.com/careers),SEARCHED_NO_MATCH,,,,,category review (no keyword search),no,"Custom page, category filters only; no matching roles"
ApotheCom,Greenhouse,ROLES_FOUND,Senior Medical Writer,https://job-boards.greenhouse.io/apothecom/jobs/7408059,UK - London/Manchester or UK remote,n/a,epidemiology; health economics; medical writing,no - non-US,"Greenhouse, not Workday; medical writer UK-based"
Argenx,Workday (argenx.wd3.myworkdayjobs.com),ROLES_FOUND,Medical Safety Lead,https://argenx.wd3.myworkdayjobs.com/en-US/External_Careers/job/details/Medical-Safety-Lead_REQ-4193-27q,United States - Remote,n/a,epidemiology; health economics; biostatistics,"borderline - remote-US, role fit borderline",Surfaced via epidemiology/biostatistics; remote-US but pharmacovigilance/safety role
Argenx,Workday (argenx.wd3.myworkdayjobs.com),ROLES_FOUND,Biomarker Biostatistics Lead,https://argenx.wd3.myworkdayjobs.com/en-US/External_Careers/details/Biomarker-Data-Scientist_REQ-4079-17q,"Gent, Belgium",n/a,biostatistics,no - non-US,biostatistics=3 hits
Atlantic Health System,Oracle Cloud HCM,SEARCHED_NO_MATCH,,,,,epidemiology; data scientist,no,Oracle Cloud not Workday; epidemiology=0; data scientist=0
Atrium Health,Cloudflare bot protection (ATS unknown),BLOCKED,,,,,none,no,Cloudflare 'Verify you are human' CAPTCHA; not bypassed per protocol
Auburn University Health Sciences,Workday (jobs.auburn.edu),SEARCHED_NO_MATCH,,,,,epidemiology; health economics; biostatistics; data scientist,no,Hits all academic/faculty onsite Auburn AL; no remote industry match
BAE Systems Health,Workday (jobs.baesystems.com),ROLES_FOUND,Data Scientist,https://jobs.baesystems.com/global/en/job/1197038R/Data-Scientist,"On-site (Reston, VA)",n/a,epidemiology; data scientist,no - onsite/clearance,epidemiology=0; role requires TS/SCI clearance
BCBSA,Workday (bcbsa.wd1.myworkdayjobs.com),ROLES_FOUND,Data Engineer (AI/ML),https://bcbsa.wd1.myworkdayjobs.com/Careers/job/US-IL-Chicago-E-Randolph/Data-Engineer--AI-ML-_JR5907,"On-site (Chicago, IL)",n/a,epidemiology; data scientist,no - onsite,epidemiology=0; data scientist=2 onsite
BCBSA,Workday (bcbsa.wd1.myworkdayjobs.com),ROLES_FOUND,Product Strategy Lead (Low Value Care portfolio),https://bcbsa.wd1.myworkdayjobs.com/Careers/job/US-IL-Chicago-E-Randolph/Product-Strategy-Lead--Low-Value-Care-portfolio-_JR5856,"On-site (Chicago, IL)",n/a,data scientist,no - onsite,onsite Chicago
Bausch Health,Workday (careers.bauschhealth.com),ROLES_FOUND,Senior Brand Manager (Aesthetics Med Device) (Remote),https://careers.bauschhealth.com/job/Bridgewater-Senior-Brand-Manager-%28Aesthetics-Med-Device%29-%28Remote%29-NJ-08807/1248831000/,"Remote (Bridgewater, NJ)",n/a,epidemiology,no - non-target role,"epidemiology=0; remote role is brand management, not research"
Baylor University Public Health,Oracle Cloud/Taleo,SEARCHED_NO_MATCH,,,,,epidemiology,no,Oracle/Taleo not Workday; epidemiology=0; standard university staff
Beth Israel Lahey Health,Custom job board (Workday-style),ROLES_FOUND,Senior AI Data Scientist,https://jobs.bilh.org/jobs/senior-ai-data-scientist-charlestown-ma-jr95705/,"On-site (Charlestown, MA)","$120,000 - $165,000 USD",epidemiology; biostatistics; data scientist; research scientist,no - onsite,data scientist=1 onsite MA
BioCryst Pharmaceuticals,Workday (biocryst.wd501.myworkdayjobs.com),SEARCHED_NO_MATCH,,,,,epidemiology; medical writing,no,10 total jobs; no relevant match
Broad Institute,Avature (broadinstitute.avature.net),ROLES_FOUND,Computational Scientist I - Center for Genomic Medicine,https://broadinstitute.avature.net/en-US/careers/JobDetail/Computational-Scientist-I-Center-for-Genomic-Medicine/21817,"Hybrid (Cambridge, MA)","$88,000 - $124,000/yr",biostatistics; data scientist,no - hybrid,"Avature not Workday; data scientist=14, biostatistics=1; roles hybrid/onsite MA"
CGI Federal,CGI Njjoyn (cgi.njoyn.com),SEARCHED_NO_MATCH,,,,,data scientist (attempted),no,Search form non-functional (cleared without results); embedded/blocked
CHI Health,CommonSpirit Careers (commonspirit.careers),SEARCHED_NO_MATCH,,,,,data scientist (attempted),no,Search redirected to homepage; non-responsive search
CMI Media Group,n/a,DEAD_URL,,,,,none,no,SSL error NET::ERR_CERT_COMMON_NAME_INVALID; site did not load
CSL Behring,Custom (jobs.csl.com),ROLES_FOUND,"Associate Director, Biostatistics",https://jobs.csl.com/en/jobs/,"Waltham, MA (onsite/field)",n/a,epidemiology; health economics; biostatistics; data scientist; outcomes research,no - onsite,63+ keyword hits but majority international or US field/onsite; exact URL not captured
CSL Behring,Custom (jobs.csl.com),ROLES_FOUND,Field Reimbursement Manager,https://jobs.csl.com/en/jobs/field-reimbursement-manager-en-r-281759-behring,"Field, Pennsylvania, US",n/a,outcomes research,no - field/non-target,"field-based, non-target role"
California State University Long Beach Health Science,CSULB Research Foundation PDF listings,SEARCHED_NO_MATCH,,,,,n/a (no keyword search; 4 postings reviewed),no,careers URL 404; only 4 clinical/social-work roles
Capgemini Invent Health,Custom (capgemini.com/careers),ROLES_FOUND,Lead Data Scientist,https://www.capgemini.com/careers/,"Birmingham/London/Manchester, UK",n/a,epidemiology; data scientist,no - non-US,epidemiology=0; data scientist=4428 but predominantly international; no clear remote-US
Castlight Apree (Mosaic Health),Workday (verawholehealth.wd1.myworkdayjobs.com/Castlight),SEARCHED_NO_MATCH,,,,,epidemiology; data scientist,no,"10 total jobs, clinical/support only; both searches=0"
