organization,domain,visible_url,primary_category,secondary_categories,confidence,source_file,source_branch,notes
10x Genomics,10xgenomics.com,https://www.10xgenomics.com,pharma_biotech,Biotech Companies; Delivering powerful reliable tools that fuel scientific discoveries and drive exponential progress; Genomics,high,employer_database_master.csv; pharma_biotech_universe.csv,cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),Genomics and biology tools company; Genomics tools
1st Providers Choice,1stproviderschoice.com,https://www.1stproviderschoice.com,clinical_informatics_healthit,Healthcare Software; EHR and practice management with health information exchange capabilities,high,clinical_informatics_healthit_universe.csv,cursor/clinical-informatics-healthit-universe-78ec,Ambulatory EHR and HIE services vendor
1upHealth,1up.health,https://1up.health/careers/,Digital Health,Digital Health,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Patient data aggregation
23andMe Inc,23andme.com,https://www.23andme.com/careers/,Biotech Companies,Biotech Companies; Digital Health,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Genomics
4Medica,4medica.com,https://www.4medica.com,clinical_informatics_healthit,Interoperability; Health information exchange and interoperability solutions for healthcare data sharing,high,clinical_informatics_healthit_universe.csv,cursor/clinical-informatics-healthit-universe-78ec,HIE and interoperability technology vendor
98point6,98point6.com,https://www.98point6.com/about-us/careers/,Digital Health,Digital Health; Greenhouse (embedded),medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Text-based telehealth; failure_reason=no_matching_roles
Abbott Core Laboratory,abbott.com,https://corelaboratory.abbott.com,med_device_diagnostics,Diagnostics; Laboratory diagnostic solutions; Pharmaceutical Companies; Workday (embedded; blocked API),high,employer_database_master.csv; med_device_diagnostics_universe.csv; phase3c_browser_queue_20260620.json,cursor/med-device-diagnostics-universe-e384; main (phase3c_sync_minimum.zip),Abbott laboratory diagnostics division; Device/diagnostics; failure_reason=no_matching_roles
AbbVie,abbvie.com,https://www.abbvie.com,pharma_biotech,Combines advanced science with expertise to make strides in drug and treatment discovery; Custom; Pharmaceutical; Pharmaceutical Companies,high,employer_database_master.csv; pharma_biotech_universe.csv; phase3c_browser_queue_20260620.json,cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),HEOR; Major pharmaceutical company; failure_reason=no_matching_roles
Abridge,abridge.com,https://www.abridge.com,ai_clinical_datascience,Clinical NLP; Digital Health; Generative AI for Clinical Conversations - transforms clinical documentation,high,ai_clinical_datascience_universe.csv; employer_database_master.csv,cursor/ai-clinical-datascience-universe-b799; main (phase3c_sync_minimum.zip),Clinical AI documentation; Company homepage; page 4
Abt Global Federal,abtglobal.com,https://www.abtglobal.com/careers,Federal Contractors,Consulting; Federal Contractors; HEOR; Oracle Recruiting; RWE; Research Organizations,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health; Federal health evaluation; Federal health research; Federal health research/contractor; failure_reason=no_matching_roles
