organization,visible_url,domain,organization_type,specialty,confidence,notes
Public Health Institute,https://www.phi.org,phi.org,Public Health Institute,National independent nonprofit advancing health and wellbeing,high,Legitimate national public health institute
Virginia Department of Health,https://www.vdh.virginia.gov,vdh.virginia.gov,State Government,State health department vaccines vital records,high,Official state health department
World Health Organization,https://www.who.int,who.int,Global Health,Global disease prevention and health systems,high,Premier international health organization
Public Health Foundation,https://phf.org,phf.org,Foundation,Training and technical assistance for health departments,high,Well-established public health foundation
U.S. Department of Health and Human Services,https://www.hhs.gov,hhs.gov,Federal Government,US federal health department,high,Federal executive department
North Carolina Department of Health and Human Services,https://www.dph.ncdhhs.gov,dph.ncdhhs.gov,State Government,State health department,high,Official state health department
DC Health,https://dchealth.dc.gov,dchealth.dc.gov,Local Government,District of Columbia health department,high,Official district health department
Public Health Institute at Denver Health,https://www.phidenverhealth.org,phidenverhealth.org,Public Health Institute,Public health programs and policy,high,Legitimate public health institute
Fairfax County Health Department,https://www.fairfaxcounty.gov/health,fairfaxcounty.gov,Local Government,County health department Virginia,high,Official county health department
Houston Health Department,https://www.houstonhealth.org,houstonhealth.org,Local Government,City community health and disease prevention,high,Official city health department
Inova Health Foundation,https://foundation.inova.org,foundation.inova.org,Foundation,Medical services research education community health,high,Health foundation focused on health system priorities
New Jersey Department of Health,https://www.nj.gov/health,nj.gov,State Government,State health department,high,Official state health department
Maryland Department of Health,https://health.maryland.gov,health.maryland.gov,State Government,State health department,high,Official state health department
CommunityHealth,https://communityhealth.org,communityhealth.org,Nonprofit,Training healthcare professionals,high,Healthcare professional training organization
Alexandria Health Department,https://www.alexandriava.gov/Health,alexandriava.gov,Local Government,City health department services,high,Official city health department
Marion County Public Health Department,https://marionhealth.org,marionhealth.org,Local Government,County public health department,high,Official county health department
New York State Department of Health,https://www.health.ny.gov,health.ny.gov,State Government,State health department,high,Official state health department
Pennsylvania Department of Health,https://www.pa.gov/agencies/health,pa.gov,State Government,State health department,high,Official state health department
NYC Public Health Laboratory,https://www.nyc.gov/site/doh/index.page,nyc.gov,Public Health Laboratory,City public health laboratory services,high,Official city public health laboratory
Baltimore City Health Department,https://www.baltimorecity.gov/health,baltimorecity.gov,Local Government,City health department,high,Official city health department
Florida Department of Health,https://www.floridahealth.gov,floridahealth.gov,State Government,State health department,high,Official state health department
Prince George's County Health Department,https://www.princegeorgescountymd.gov/health,princegeorgescountymd.gov,Local Government,County health department Maryland,high,Official county health department
Detroit Health Department,https://detroitmi.gov/departments/detroit-health-department,detroitmi.gov,Local Government,City health department,high,Official city health department
Colorado Health Foundation,https://coloradohealth.org,coloradohealth.org,Foundation,Health foundation,high,Legitimate health foundation
Kern Public Health,https://www.kernpublichealth.com,kernpublichealth.com,Local Government,County public health services California,high,Official county health department
