organization,visible_url,domain,organization_type,specialty,confidence,notes
Fingerpaint Group,https://www.fingerpaint.com/medical-affairs,fingerpaint.com,Medical Communications,Scientific communications agency offering medical communications services,High,Company homepage - clearly medical affairs and scientific communications agency
Syneos Health,https://www.syneoshealth.com/commercial-delivery,syneoshealth.com,Medical Communications,Medical communications agency building relationships between biopharmaceutical industry and healthcare professionals,High,Large established medical communications provider
OPEN Health,https://www.openhealthgroup.com/what-we-do/med-comms,openhealthgroup.com,Medical Communications,Medical communications agency specialists bringing data to life across healthcare community,High,Company homepage - medical communications and med comms solutions
Inizio,https://inizio.com/our-businesses,inizio.com,Medical Communications,Best-in-class scientific knowledge and cutting-edge tech for compelling content and experiences across healthcare,High,Company homepage - medical communications agency
RTI Health Solutions,https://www.rtis.org/medical-writing-and-publication-strategy,rtis.org,Publication Planning,Medical writing and publication strategy - strategic publication planning to medical writing and editing,High,Company services page - publication strategy and medical writing
Aspire Scientific,https://www.aspire-scientific.com,aspire-scientific.com,Medical Communications,Independent evidence-led medical communications agency powered by people and values,High,Company homepage - independent medical communications agency
CTC Medical Communications,https://ctc.agency/resource-hub/what-does-a-medical-communications-agency-do,ctc.agency,Medical Communications,Medical communications agency supporting biotechnology and pharmaceutical companies,High,Company resource page explaining agency services
Real Chemistry,https://medcomms.realchemistry.com/promo-med-ed,realchemistry.com,Medical Education,Promotional medical education team delivers spot-on scientific strategy and content,High,Company subdomain page - promotional medical education capabilities
Amplify,https://amplify.com/medical-communications,amplify.com,Medical Communications,Strategic medical communications grounded in science fueled by proprietary insights delivered with trust to healthcare networks,High,Company medical communications page
RX Communications,https://www.rxcomms.com,rxcomms.com,Scientific Communications,Scientific medical writing services for pharma and biotech by senior experts,High,Company homepage - scientific and medical writing services
Acumen Medical Communications,https://www.acumenmedcom.com,acumenmedcom.com,Medical Communications,End-to-end support of medical and scientific communication needs including abstracts posters and medical writing,Medium,Company homepage - medical communications and scientific writing
BOLDSCIENCE,https://www.boldsci.com,boldsci.com,Medical Communications,Full-service medical communications agency part of Co:Lab Global branded suite and Assembled Intelligence platform,High,Company homepage - global medical communications agency
Lucid Group,https://www.lucidgroup.com,lucidgroup.com,Medical Education,Mid-sized fast-growing medical education agency,Medium,Glassdoor review reference - medical education agency
M-H Life Sciences,https://www.mhlifesciences.com/agency-services,mhlifesciences.com,Medical Affairs Strategy,Medical affairs agency purpose-built for biotech scales with partners from phase 2 clinical trials through commercialization,High,Company agency services page
Diamond Medical Education Agency,https://www.dmea.ca,dmea.ca,Medical Education,Medical education agency specializing in placing dedicated applicants from Canada and United States into medical dental and pharmacy programs,Medium,ZoomInfo and Instagram references - medical education agency (placement focus)
ApotheCom,https://www.apothecom.com,apothecom.com,Medical Affairs Strategy,Global medical affairs agency delivering evidence-driven medical communications strategy and innovation for pharma and biotech worldwide,High,Company homepage - global medical affairs agency
Word Monster,https://wordmonster.agency,wordmonster.agency,Medical Communications,Award-winning medical communications agency powered by deep scientific expertise,Medium,Company homepage - medical communications agency
Bioscript Group,https://bioscriptgroup.com,bioscriptgroup.com,Scientific Communications,Scientific communications agency providing medical communications market access consulting and regulatory writing support,High,Company homepage - scientific communications agency
CM Consulting,https://www.cmconsulting.co/scientific-medical-writing,cmconsulting.co,Medical Writing,Independent medical communications agency partnering with leading healthcare organisations to develop compelling scientific content,Medium,Company services page - independent medical communications agency
Impact Medical Communications,https://impacthpenet.com/connect,impacthpenet.com,Medical Communications,Medical communications agency to tackle unique challenges with tailored solutions,Medium,Company connect page - medical communications agency
LiV Medical Education Agency,https://www.livagency.com,livagency.com,Medical Education,Medical education agency in Montreal QC with associate medical directors and leadership team,Medium,Multiple directory references confirm existence - medical education agency
KNB Communications,https://www.knbcomm.com,knbcomm.com,Healthcare Communications,Top-tier agency for biotech life sciences and health tech specializing in credibility and storytelling - Best Healthcare Communications Firm,High,Company homepage and award recognition - healthcare communications firm
p-value group,https://www.p-valuegroup.com,p-valuegroup.com,Medical Communications,Medical communications agency founded in 2004 privately owned with multiple agencies providing full-service medical communications and speakers bureau,High,Company homepage - medical communications agency
Cactus Life Sciences,https://cactuslifesciences.com/tag/publication-strategy,cactuslifesciences.com,Publication Planning,Publication strategy services for medical and scientific content,Medium,Company tag page - publication strategy focus
Precision AQ,https://www.precisionaq.com/medical-communications,precisionaq.com,Medical Communications,Medical communications services from advisory board meetings and expert engagements to publications and promotional medical education,High,Company medical communications page
Orangefiery,https://orangefiery.com/industries/healthcare-comms,orangefiery.com,Healthcare Communications,Healthcare communications firm combining insights and decision-making tools of strategy consulting with real-world orientation and agility,High,Company industry page - healthcare communications firm for pharma and biotech
Axial Group,https://www.axialgroup.com/efficient-publication-strategy,axialgroup.com,Publication Planning,Efficient publication strategy services - Lanx part of Axial Group full-service CRO,Medium,Company page mentions publication strategy - CRO with publication services
Obsidian Healthcare Group,https://www.obsidianhg.com,obsidianhg.com,Medical Affairs Strategy,2025 Communiqué Medical Affairs Agency of the Year finalist - medical affairs agency,High,Company homepage and award recognition
THRIVING,https://www.thrivingnhc.com,thrivingnhc.com,Healthcare Communications,National healthcare communications firm continues rapid growth,Medium,PR Newswire article reveals organization name - healthcare communications firm
