organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Lewin Group,lewin.com,https://lewin.com/careers/,HEOR / RWE / Consulting,Consulting; HEOR; RWE; Unknown,medium,Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certi; Optum/Lewin policy; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>
Lewis & Clark Information Exchange,lacie-hie.com,https://www.lacie-hie.com,clinical_informatics_healthit,HIE; Health information exchange serving Kansas and Missouri,high,Regional HIE in Kansas and Missouri
LifePoint Health,lifepointhealth.net,https://careers.lifepointhealth.net/,Hospital Systems,Hospital Systems; Workday,medium,Community hospital operator; failure_reason=fetch_failed:<urlopen error [Errno -5] No address associated with hostname>
Lifepoint Informatics,lifepnt.com,https://www.lifepnt.com,clinical_informatics_healthit,Interoperability; Laboratory outreach connectivity EMR integration and clinical data exchange,high,Clinical data exchange and HIE integration vendor
Lightship,lightship.health,https://www.lightship.health/careers,Digital Health,Digital Health; Greenhouse (embedded),medium,Clinical trials digital; Digital health/RWE; R20 new; failure_reason=no_matching_roles
Lions Clubs International,lionsclubs.org,https://www.lionsclubs.org,global_health_ngo,Other; Community service with vision and diabetes health programs,medium,Service organization with health programming
LiV Medical Education Agency,livagency.com,https://www.livagency.com,medical_communications,Medical Education; Medical education agency in Montreal QC with associate medical directors and leadership team,medium,Multiple directory references confirm existence - medical education agency
Livewire Editorial Communications,livewirecommunications.co.uk,https://www.livewirecommunications.co.uk,medical_communications,Medical Communications; London-based international medical communications agency experts in medical writing brand strategy and scientific communication,high,Google snippet from company page - medical communications agency
Livongo (Teladoc),teladochealth.com,https://www.teladochealth.com/careers,Digital Health,Digital Health,medium,Chronic condition data; Telehealth
LMI (Logistics Management Institute),lmi.org,https://www.lmi.org/careers,Federal Contractors,Federal Contractors; Workday; iCIMS,medium,Also seen under domain lmisolutions.com; Federal health analytics; Federal health research/contractor; failure_reason=no_matching_roles
Loma Linda University School of Public Health,llu.edu,https://publichealth.llu.edu,academic,Academic Medical Centers; School of Public Health; Workday,high,Also seen under domain home.llu.edu; CEPH-accredited Adventist university; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Louisiana Department of Health,ldh.la.gov,https://ldh.la.gov,environmental_occupational_health,"Government - State; Environmental Epidemiology, Toxicology",high,Section of Environmental Epidemiology and Toxicology (SEET) collects and evaluates environmental health data
Louisiana State University School of Public Health,lsu.edu,https://lsu.edu/hrm/careers,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
Loyola University Chicago Health Sciences,luc.edu,https://www.careers.luc.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
