organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Peach State Health Plan,pshpgeorgia.com,https://www.pshpgeorgia.com,payer_vbc,Medicaid Managed Care; Georgia Medicaid and health insurance,high,Georgia Medicaid MCO
Pearl Health,pearlhealth.com,https://www.pearlhealth.com,digital_health,Healthcare Analytics; Value-based care intelligence and financial modeling for providers,high,AI workflow automation for 5000+ providers
Penn Medicine,upenn.edu,https://www.med.upenn.edu,hospital_system,Academic Hospital; Academic Medical Center; Academic Medical Centers; Hospital Systems; Unknown,high,Also seen under domain pennmedicine.org; Fetch: <urlopen error [Errno -2] Name or service not known>; Hospital/cancer center; Leonard Davis Institute; University of Pennsylvania Medicine; University of Pennsylvania Perelman School of Medicine with Learning Health System Science; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Penn State Health,pennstatehealth.org,https://www.pennstatehealth.org,hospital_system,Academic Hospital; Academic Medical Center; Penn State Health,high,Academic medical center with clinical research; Academic medical center with research institute; Part of Penn State College of Medicine; Pennsylvania academic health system
Penn State Population Research Institute,psu.edu,https://pop.psu.edu,academic,Research Institute,high,Pennsylvania State University
Peraton,peraton.com,https://www.careers.peraton.com/,Federal Contractors,Federal Contractors; iCIMS,medium,Federal health research/contractor; Federal research; failure_reason=no_matching_roles; iCIMS
Perisphere Real World Evidence LLC,perisphere-rwe.com,https://www.perisphere-rwe.com,cro_heor_rwe,RWE; Pharmacoepidemiology and real-world evidence generation,high,20+ years experience in evidence generation
PerkinElmer (Revvity),revvity.com,https://www.revvity.com/careers,Biotech Companies,Biotech Companies; Pharmaceutical Companies; Unknown,medium,Diagnostics; Fetch: HTTP Error 403: Forbidden; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Perrigo,perrigo.com,https://careers.perrigo.com/,Pharmaceutical Companies,Pharmaceutical Companies; SuccessFactors; Workday,medium,OTC/self-care; failure_reason=no_matching_roles
Persivia,persivia.com,https://persivia.com,digital_health,Population Health; Care management and population health platform,high,AI-driven care coordination for value-based care
Peterson Center on Healthcare,petersonhealthcare.org,https://petersonhealthcare.org/careers/,Research Organizations,Custom; Research Organizations,medium,Healthcare quality research; failure_reason=no_matching_roles
