employer,job_title,url,remote_status,salary,role_family,search_term,why_potentially_relevant,risk_or_concern,source_queue,agent
Child Trends Federal,Research Scholar/Sr. Research Scholar,https://www.childtrends.org/careers/job-openings,Remote,,program evaluation,research,Senior researcher in Education department; flexible location,Child/family policy research org,B,B
City of Hope,Post-doctoral Fellow - Applied AI and Data Science,https://www.cityofhopejobs.org/job/11013,Remote,,research scientist,research,Clinical research postdoc in applied AI and data science,Cancer center research focus,B,B
City of Hope,Senior Data Scientist,https://www.cityofhopejobs.org/job/9899,Remote,,data science,data scientist,Remote senior data scientist in IT/research,Verify research vs general IT scope,B,B
City of Hope,Project Manager - Health Innovation & Policy,https://www.cityofhopejobs.org/job/10909,Remote,,health policy analyst,public health,Health innovation and policy project management,PM title may be less analyst-focused,B,B
City of Hope,Cancer Registrar,https://www.cityofhopejobs.org/job/11251,Remote,,registry/data manager,research,Cancer registry role supporting research department,Registry vs analyst distinction,B,B
Clarivate (DRG),Senior Consultant Healthcare Consulting - Epidemiology,https://careers.clarivate.com,Remote,,HEOR,HEOR,Epidemiology and HEOR consulting,Specific posting URL not captured; verify on careers site,B,B
Cityblock Health,Director of Data Analytics,https://cityblock.com/careers,Remote,,healthcare data analyst,data,Director-level healthcare analytics leadership,Seniority may be above target level,B,B
Cityblock Health,Manager Healthcare Analytics,https://cityblock.com/careers,Remote,,healthcare data analyst,data,Healthcare analytics management role,Verify analytics vs operations,B,B
Cityblock Health,Senior Data Analyst - Clinical,https://cityblock.com/careers,Remote,,clinical data analyst,research,Clinical data analytics for value-based care,Specific posting URL not captured,B,B
Cityblock Health,Senior Data Analyst - Quality Analytics,https://cityblock.com/careers,Remote,,quality analytics,public health,Quality analytics; epi/public health background preferred,Specific posting URL not captured,B,B
Certara,Solutions Consultant-Application Scientist,https://careers.certara.com/jobs/2461?lang=en-us,Remote,,research scientist,data,PK/PD modeling and biosimulation consulting for pharma clients,Consulting/scientific software focus,B,B
Certara,Senior Statistical Programmer,https://careers.certara.com/jobs/2418,remote unclear,,biostatistician,data,Statistical programming for pharmaceutical biosimulation,Verify US remote availability,B,B
Cytel,Principal Statistical Programmer FSP - RWD/EPI,https://ibyjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/cytel/job/1592,Remote,,biostatistician,RWE,RWE/epidemiology statistical programming for pharma clients,None - US remote option confirmed,B,B
Cytel,Research Principal Real World Evidence,https://ibiyb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/cytel/job/1588,Remote,,RWE,RWE,Senior RWE research leadership for pharmaceutical clients,United States and 1 more location,B,B
Cytel,Senior Director Real World Evidence,https://ibiyb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/cytel/job/1587,Remote,,RWE,RWE,Executive RWE leadership and client consulting,Senior Director level - verify not purely executive,B,B
Costello Medical,Analyst/Medical Writer,https://apply.workable.com/costello-medical/j/B93060C66D/,Remote,$71000-$76500,medical writer,analyst,Clinical data analysis and medical writing for novel therapies,May have location restrictions,B,B
Costello Medical,Epidemiologist,https://apply.workable.com/costello-medical/j/F4A8790D02,remote unclear,,epidemiologist,epidemiology,Design and execution of real-world studies in healthcare,Location/remote status unclear; may be UK-based,B,B
Costello Medical,Senior Health Economist,https://apply.workable.com/costello-medical/j/3EF744ED08/,remote unclear,,health economics,HEOR,Economic modeling for healthcare resource allocation,Remote status unclear,B,B
