organization,visible URL,domain,organization type,specialty,confidence,notes
Public Health Foundation,https://phf.org,phf.org,Public Sector Consulting,Health department training performance improvement and accreditation support,High,Leader in public health workforce development
FTI Consulting,https://www.fticonsulting.com,fticonsulting.com,Public Sector Consulting,Public sector and government contract management,High,Major consulting firm with government contracts practice
Public Policy Institute (Elevance Health),https://www.elevancehealth.com/public-policy-institute,elevancehealth.com,Policy Research,Healthcare policy research and insights,High,Data-driven research on healthcare programs
Nava PBC,https://www.navapbc.com,navapbc.com,Federal Contractor,Government technology for federal state and local agencies,High,Public benefit corporation and federal contractor since 2015
Public Health Institute,https://www.phi.org,phi.org,Policy Research,National nonprofit advancing health and wellbeing,High,Independent health research organization
Boston Consulting Group,https://www.bcg.com/public-sector,bcg.com,Public Sector Consulting,Public sector consulting and strategy,High,Major consulting firm with government practice
RAND Corporation,https://www.rand.org,rand.org,Policy Research,Nonprofit research institution for policy and decisionmaking,High,Premier policy research organization
Council on Education for Public Health,https://ceph.org,ceph.org,Other,Independent agency accrediting schools of public health,Medium,Accreditation body rather than consulting or research firm
Annenberg Public Policy Center,https://www.annenbergpublicpolicycenter.org,annenbergpublicpolicycenter.org,Policy Research,Health policy research and communication,High,University-based policy research center
PwC (Strategy&),https://www.strategyand.pwc.com/industries/public-sector,strategyand.pwc.com,Public Sector Consulting,Public sector strategy consulting for governments and NGOs,High,Major consulting firm with public sector practice
Open Contracting Partnership,https://www.open-contracting.org,open-contracting.org,Other,Government procurement transparency and monitoring,Medium,Connects governments and civil society for public procurement
Korn Ferry,https://www.kornferry.com/industries/government-public-sector,kornferry.com,Public Sector Consulting,Government and public services consultants and talent development,High,Consulting firm with government services practice
PA Consulting,https://www.paconsulting.com/industries/government-and-public-sector,paconsulting.com,Public Sector Consulting,Government and public sector consulting,High,Collaborative purpose-led approach to public sector consulting
Governors Public Health Alliance,https://govpublichealth.org,govpublichealth.org,Policy Research,Coalition of governors working to protect public health,Medium,Helps states communicate across state lines
Centre for Public Impact,https://www.centreforpublicimpact.org,centreforpublicimpact.org,Policy Research,Governments championing value of human relationships and culture of learning,High,Mission-driven changemakers shaping new era for governments
Kaiser Permanente,https://about.kaiserpermanente.org,kaiserpermanente.org,Healthcare Consulting,Public policy perspectives on affordable health care and health system improvement,Medium,Large healthcare organization with policy work not primarily consulting
Accountability and Reform Research Consortium (Volcker Alliance),https://www.volckeralliance.org/initiatives/accountability-reform-research-consortium,volckeralliance.org,Policy Research,Documenting impact of changes to federal workforce on public service delivery,High,Research consortium focused on federal workforce and public service
Empire Center for Public Policy,https://www.empirecenter.org,empirecenter.org,Policy Research,Independent non-partisan non-profit think tank in Albany New York,High,State-focused policy research organization
Accenture,https://www.accenture.com/industries/public-service,accenture.com,Public Sector Consulting,Public sector consulting services,High,Major consulting firm with government services practice
