organization,visible_url,domain,result_title,snippet_summary,inferred_category,confidence,reason_included,notes
AcademyHealth,https://academyhealth.org,academyhealth.org,AcademyHealth,Professional organization strengthening health services research,Nonprofit,High,Professional organization for health services researchers,Annual Research Meeting is major HSR conference
Adventist Health,https://www.adventisthealth.org,adventisthealth.org,Adventist Health,Faith-based health system with accountable care organization,Hospital System,High,Large West Coast health system,Population health and quality improvement programs
Agency for Healthcare Research and Quality,https://www.ahrq.gov,ahrq.gov,Agency for Healthcare Research and Quality,Federal agency enhancing quality and effectiveness of health services,Government,High,Federal health services research agency,Major employer for outcomes researchers and biostatisticians
American Public Health Association,https://www.apha.org,apha.org,American Public Health Association,Professional membership organization for public health professionals,Public Health Organization,Medium,Professional organization for public health advocacy and policy,Major public health conference and AJPH journal
Bain & Company,https://www.bain.com,bain.com,Bain & Company: Global Management Consulting Firm,Top management consulting firm with healthcare practice,Consulting,Medium,Management consulting with healthcare and life sciences practice,Employs health economists and healthcare analysts
Baylor University Robbins College of Health & Human Sciences,https://robbins.baylor.edu,robbins.baylor.edu,Robbins College of Health & Human Sciences,Health and human sciences programs at Baylor University,University,Medium,Academic health sciences college,Public health and health sciences programs
Becton Dickinson,https://www.bd.com,bd.com,BD: Advancing the World of Health,"Medical technology company for devices, diagnostics, and medication delivery",Medical Device,Medium,Medical technology company,Clinical affairs and device epidemiology
Beth Israel Lahey Health,https://www.bilh.org,bilh.org,Beth Israel Lahey Health: Home,Academic health system with population health and digital health,Hospital System,High,Integrated Massachusetts health system,Population health and pharmacy services
Bloomberg Philanthropies,https://www.bloomberg.org/public-health,bloomberg.org,Strengthening Health Data,Data for health partners with low- and middle-income countries,Nonprofit,Medium,Major public health funder supporting data-driven health initiatives,Global health data and tobacco control
Bristol Myers Squibb,https://www.bms.com,bms.com,Bristol Myers Squibb,Major pharmaceutical company with clinical development and medical affairs,Pharmaceutical,High,Major pharmaceutical company,Large clinical development and HEOR organizations
Candid,https://candid.org,candid.org,"Candid: Research nonprofits, funders, and grants","Connect with funders, explore foundation grants, 1.9M organization profiles",Nonprofit,Medium,Nonprofit data and research organization,Merger of Foundation Center and GuideStar
CDPHP,https://www.cdphp.com,cdphp.com,CDPHP | Affordable NY Health Insurance,Not-for-profit health insurance plan in New York,Insurance,Medium,Regional health plan,Employs health analysts and population health managers
Cedars-Sinai,https://www.cedars-sinai.org,cedars-sinai.org,Cedars-Sinai: A Nonprofit Hospital in Los Angeles,Major academic medical center with biomedical research programs,Academic Medical Center,High,Academic medical center employing clinical researchers,Independent academic medical center in Los Angeles
CHI Health,https://www.chihealth.com,chihealth.com,CHI Health,Catholic health system part of CommonSpirit Health,Hospital System,High,Regional hospital system,Part of CommonSpirit Health
City of Hope,https://www.cityofhope.org,cityofhope.org,City of Hope: Top Cancer Treatment and Research Center,NCI-designated Comprehensive Cancer Center with Beckman Research Institute,Research Institute,High,NCI-designated comprehensive cancer center,"Beckman Research Institute for cancer, HIV, and diabetes"
Colorado School of Public Health,https://coloradosph.cuanschutz.edu,coloradosph.cuanschutz.edu,Colorado School of Public Health - CU Anschutz,Educate future leaders and turn research into practice,University,High,Only accredited school of public health in Rocky Mountain region,Tri-institutional collaboration
Colorado State University School of Public Health,https://publichealth.colostate.edu,publichealth.colostate.edu,Colorado School of Public Health at Colorado State University,Accredited school of public health in Rocky Mountain region,University,High,Academic public health employer,Part of Colorado SPH tri-institutional collaboration
Columbia University Mailman School of Public Health,https://publichealth.columbia.edu,publichealth.columbia.edu,Columbia University Mailman School of Public Health,"Founded 1922, groundbreaking research and innovative solutions",University,High,Top-tier school of public health,Strong epidemiology and health policy programs
CommonSpirit Health,https://www.commonspirit.org,commonspirit.org,"Dignity Health AZ, CA, and NV","Large integrated health system across Arizona, California, and Nevada",Hospital System,High,Large health system with quality and research initiatives,Includes Dignity Health and CHI Health
Council on Education for Public Health,https://ceph.org,ceph.org,Council on Education for Public Health: Home,Independent agency accrediting schools of public health,Public Health Organization,Medium,Accreditation body for public health programs,Sets standards for public health education
Drexel Dornsife School of Public Health,https://drexel.edu/dornsife,drexel.edu,"Drexel Dornsife School of Public Health in Philadelphia, PA","Urban Health Collaborative, Center for Hunger-Free Communities",University,High,Academic employer for urban health researchers,Strong urban health and health equity programs
EY Healthcare,https://www.ey.com/en-us/industries/health,ey.com,Healthcare industry insights,Big 4 consulting with healthcare and life sciences practice,Consulting,Medium,Healthcare consulting practice,Life sciences and healthcare strategy
Harvard T.H. Chan School of Public Health,https://hsph.harvard.edu,hsph.harvard.edu,Harvard T.H. Chan School of Public Health: Home,Premier school of public health with global health and climate programs,University,High,Leading school of public health,"Research in epidemiology, biostatistics, health economics"
