organization,visible_url,domain,organization_type,specialty,confidence,notes
Quest Diagnostics,https://www.questdiagnostics.com,questdiagnostics.com,Diagnostics,Clinical laboratory testing and diagnostic information services,High,Major national clinical laboratory
Foundation Medicine,https://www.foundationmedicine.com,foundationmedicine.com,Molecular Diagnostics,Molecular profiling and companion diagnostics for cancer treatment,High,FDA-cleared companion diagnostics
Becton Dickinson (BD),https://www.bd.com,bd.com,Medical Device,Medical technology company for medication management and diagnostics,High,Major global medical technology company
Chembio Diagnostics,https://chembio.com,chembio.com,Diagnostics,Point-of-care infectious disease diagnostics,High,CLIA-waived rapid tests
Co-Dx,https://co-dx.com,co-dx.com,Molecular Diagnostics,PCR platform for rapid real-time diagnostic results,High,Point-of-care molecular diagnostics
Leica Biosystems,https://www.leicabiosystems.com,leicabiosystems.com,Digital Pathology,Pathology and companion diagnostic solutions for pharmaceutical companies,High,Cancer diagnostics and digital pathology
Roche Diagnostics,https://www.roche.com,roche.com,Diagnostics,Diagnostic tests instruments and digital solutions for healthcare,High,Global leader in diagnostics
Thermo Fisher Scientific,https://www.thermofisher.com,thermofisher.com,Diagnostics,Diagnostic testing instruments and laboratory solutions,High,Major diagnostic and laboratory equipment provider
DMS Imaging,https://www.dms-imaging.com,dms-imaging.com,Imaging Diagnostics,Medical imaging systems for digital radiology and bone densitometry,High,Specialized in diagnostic imaging
Almac Diagnostic Services,https://www.almacgroup.com,almacgroup.com,Diagnostics,Biomarker-driven clinical trials and diagnostic services,High,Specializes in precision medicine diagnostics
Cepheid,https://www.cepheid.com,cepheid.com,Molecular Diagnostics,Molecular diagnostic testing with GeneXpert systems,High,Automated molecular diagnostics platform
EKF Diagnostics,https://www.ekfdiagnostics.com,ekfdiagnostics.com,Diagnostics,Point-of-care diagnostics and biotechnology solutions,High,Global POC diagnostics leader
Grifols Diagnostic Solutions,https://www.diagnostic.grifols.com,diagnostic.grifols.com,Diagnostics,Transfusion medicine clinical diagnostics and testing services,High,Blood banking and immunohematology diagnostics
Twist Bioscience,https://www.twistbioscience.com,twistbioscience.com,Genomics Testing,DNA synthesis and NGS-based diagnostic panels,High,Synthetic biology for genomic testing
Digital Diagnostics,https://www.digitaldiagnostics.com,digitaldiagnostics.com,Imaging Diagnostics,AI-powered autonomous diagnostic solutions for diabetic eye disease,High,FDA-authorized AI diagnostics
Foresight Diagnostics,https://foresight-dx.com,foresight-dx.com,Molecular Diagnostics,Ultra-sensitive cancer diagnostic tests using precision genomics,High,Liquid biopsy for cancer monitoring
Diagnostic BioSystems (DBS),https://dbiosys.com,dbiosys.com,Diagnostics,Advanced tissue diagnostics for precision healthcare,High,IHC and molecular pathology
Illumina,https://www.illumina.com,illumina.com,Genomics Testing,Sequencing-based molecular diagnostic tests and IVD products,High,Leader in genomic sequencing platforms
C2N Diagnostics,https://c2n.com,c2n.com,Diagnostics,Blood tests for Alzheimer's disease diagnostics,High,Specialty diagnostics for neurodegenerative diseases
CellCarta,https://cellcarta.com,cellcarta.com,Diagnostics,Companion diagnostic and CDx services,Medium,Biomarker and companion diagnostics CRO
Steinberg Diagnostic Medical Imaging,https://www.stbmv.com,stbmv.com,Imaging Diagnostics,Diagnostic medical imaging centers,Medium,Regional imaging centers in Las Vegas
