organization,visible_url,domain,organization_type,specialty,confidence,notes
National Institutes of Health,https://www.nih.gov/nih-clinical-research-trials-you,nih.gov,Clinical Registry,Multiple (cancer ophthalmology),high,Government registry aggregator listing patient and clinical registries
Cystic Fibrosis Foundation,https://www.cff.org/medical-professionals/patient-registry,cff.org,Patient Registry,Cystic Fibrosis,high,CF Foundation Patient Registry collects longitudinal health status data
ClinicalTrials.gov,https://clinicaltrials.gov,clinicaltrials.gov,Clinical Registry,General,high,Federal clinical trials and observational study registry
World Health Organization,https://www.who.int/tools-and-toolkits,who.int,Clinical Registry,General,high,WHO clinical registry platform for health facilities
Food Allergy Research & Education,https://www.foodallergy.org/elevating-research/fare-patient-registry,foodallergy.org,Patient Registry,Food Allergies,high,FARE Patient Registry for food allergy research
Virginia Health Information,https://www.vhi.org,vhi.org,Health Information Exchange,General/Virginia,high,Connects collects and reports Virginia healthcare data and statewide exchange programs
Office of the National Coordinator for Health IT,https://www.healthit.gov/health-it-basics,healthit.gov,Health Information Exchange,General,high,Federal office overseeing health IT and nationwide health information exchange policy
Castor,https://www.castoredc.com,castoredc.com,Evidence Generation,eClinical Data Management,high,RWE platform and patient registry for observational study methods
WeGuide,https://www.weguide.health,weguide.health,Evidence Generation,Patient Registry Platform,high,Real-world evidence platform and patient registry management software
RTI Health Solutions,https://www.rtihs.org/Real-World-Evidence,rtihs.org,Real-World Data,Database and Registry Research Services,high,Database and registry research services for life sciences
IQVIA,https://www.iqvia.com/solutions/real-world-evidence,iqvia.com,Real-World Data,Real World Evidence / HEOR,high,RWE solutions supporting health economics and outcomes research
Global Heat Health Information Network,https://heathealth.info,heathealth.info,Health Data Network,Heat Health,medium,International network for heat-health data awareness and capacity building
Mahalo Health,https://www.mahalo.health,mahalo.health,Patient Registry,Patient Registry Platforms,high,Patient registry and clinical registry deployment platform
UC San Diego Health,https://health.ucsd.edu/Medical-Records,health.ucsd.edu,Health Information Exchange,General,medium,Academic health system participating in health information exchange for provider access
Australian Government Department of Health,https://www.health.gov.au/our-work/national-clinical-quality-registry-program,health.gov.au,Clinical Registry,Clinical Quality,high,National Clinical Quality Registry Program funding clinical quality registries
Pro Pharma Research Organization,https://propharmaresearch.com,propharmaresearch.com,Real-World Data,Real-World Evidence Registries,high,Real-world evidence registry services for pharmaceutical research
H1,https://h1.co,h1.co,Real-World Data,Healthcare Data Analytics,medium,Healthcare data and real-world data evaluation platform for life sciences
Datavant,https://www.datavant.com/real-world-data,datavant.com,Real-World Data,Real-World Data / Data Connectivity,high,Real-world data connectivity platform for clinical research and drug development
Government of Prince Edward Island,https://services.princeedwardisland.ca/service/pei-provincial-patient-registry,princeedwardisland.ca,Patient Registry,General/Provincial,high,Provincial patient registry for Prince Edward Island residents
