employer,job_title,url,remote_status,salary,role_family,search_term,why_potentially_relevant,risk_or_concern,source_queue,agent
Humana,Clinical Research Scientist 2,https://jobs.appcast.io/humana/clinical-research-scientist/45360177727,Remote,not_specified,Research Scientist,epidemiology,Applies epidemiologic and statistical principles to Medicare Advantage claims data for population health outcomes.,Job aggregator URL not direct Humana careers site,job_search_queue_C,expansion-C
Humana,Senior HEDIS Data Manager,https://careers.humana.com/us/en/job/R-416776/Senior-HEDIS-Data-Manager,Remote Nationwide,not_specified,Healthcare Data Analyst,data,Senior data management role focused on HEDIS healthcare quality measures and analytics.,More quality metrics management than research,job_search_queue_C,expansion-C
Humana,Data Scientist – Applied AI,https://careers.humana.com/us/en/job/R-415232/Data-Scientist-Applied-AI-LLMs-SLMs-Predictive-Modeling,Remote Nationwide,not_specified,Healthcare Data Analyst,data,Remote data scientist role in applied AI and predictive modeling for healthcare.,More AI/ML than traditional epidemiology,job_search_queue_C,expansion-C
Humana,Senior Data Scientist,https://careers.humana.com/us/en/job/R-393567/Senior-Data-Scientist,Remote Nationwide,not_specified,Healthcare Data Analyst,data,Senior-level remote data scientist in Technology and Digital Analytics.,None noted,job_search_queue_C,expansion-C
ICF,Data Scientist (Remote),https://www.dice.com/job-detail/3bfa1e05-50d2-4dd2-b5c3-92398cf08194,Remote,"$89,649 - $152,404",Healthcare Data Analyst,data,Data scientist supporting NIH work with machine learning and healthcare data analytics.,Application window closed 10/24/2025,job_search_queue_C,expansion-C
ICON plc,Senior Biostatistician (Level I/II),https://careers.iconplc.com/job/senior-biostatistician-level-i-or-level-ii-remote-in-various-jid-12720,Remote (US or EU),not_specified,Biostatistician,biostatistics,Senior biostatistician planning and organizing biostatistical activities for clinical research.,EU eligibility may apply,job_search_queue_C,expansion-C
ICON plc,Biostatistician II,https://careers.iconplc.com/job/biostatistician-ii-in-us-blue-bell-icon-jid-47561,Remote (US),not_specified,Biostatistician,biostatistics,Biostatistician II for DMC team; remote US-based.,East Coast hours requirement,job_search_queue_C,expansion-C
ICON plc,Senior Biostatistician (REMOTE),https://careers.iconplc.com/job/senior-biostatistician-remote-in-remote-jid-21884,Remote,not_specified,Biostatistician,biostatistics,Senior biostatistician for clinical and preclinical research.,Vacancy may be expired,job_search_queue_C,expansion-C
Komodo Health,Senior Research Data Analyst HEOR/RWE,https://builtin.com/job/senior-research-data-analyst/4790848,Remote (US),not_specified,HEOR/RWE,data,HEOR/RWE research using large healthcare databases; epidemiological study design.,None noted,job_search_queue_C,expansion-C
Komodo Health,Senior Research Data Analyst,https://startup.jobs/senior-research-data-analyst-komodo-health-4127974,Remote,not_specified,HEOR/RWE,research,Life science HEOR/RWE research data analyst with epidemiology background.,None noted,job_search_queue_C,expansion-C
Komodo Health,Senior Data Analyst Research,https://www.dataanalyst.com/job/senior-data-analyst-research,Remote (US),"$150,000 - $182,000",Healthcare Data Analyst,data,Senior data analyst for HEOR/RWE studies using proprietary Healthcare Map.,None noted,job_search_queue_C,expansion-C
Leidos,Public Health Analyst/Epidemiologist,https://www.talentify.io/job/public-health-analystepidemiologist---leidos-r-00117792,Remote,"$78,000 - $162,000",Epidemiologist,public health,CDC NHSN program epidemiology and public health analysis.,Requires US citizenship and Public Trust clearance,job_search_queue_C,expansion-C
Leidos,Public Health Interoperability Lead,https://jobs.military.com/career/255783/public-health-interoperability-lead-sr-public-health-data-analyst-remote,Remote (Atlanta preferred),"$107,900 - $195,050",Clinical Informatics,informatics,Senior public health data analyst leading CDC data exchange and interoperability.,Requires US citizenship; contingent upon award,job_search_queue_C,expansion-C
Genesis Research Group,Associate Director Epidemiology,https://genesisrg.com/careers/assoc-director-epidemiology/,Flexible hybrid or remote,not_specified,Epidemiologist,epidemiology,RWE/HEOR epidemiology leadership; Master's or PhD in epidemiology.,Hybrid/remote flexibility not fully remote-only,job_search_queue_C,expansion-C
