organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Texas Tech University Health Sciences Center,ttuhsc.edu,https://www.ttuhsc.edu,academic,Academic Medical Centers; Health Sciences Center; Workday,high,SPH/Medicine; Texas academic health sciences; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found
Texas Tech University Health Sciences Center El Paso,ttuhscep.edu,https://www.ttuhscep.edu,academic,Medical School,high,Paul L. Foster School of Medicine
TFS HealthScience,tfscro.com,https://tfscro.com,cro_heor_rwe,CRO; Real-world evidence studies and global CRO resourcing,high,Global CRO services
The Borgen Project,borgenproject.org,https://borgenproject.org,global_health_ngo,International NGO; Global poverty and health policy advocacy,medium,Development advocacy organization
The Health Collaborative,healthcollab.org,https://www.healthcollab.org,clinical_informatics_healthit,HIE; Ohio health information exchange services provider,high,Ohio regional HIE organization
The Health Plan,healthplan.org,https://www.healthplan.org,payer_vbc,Health Insurance; Member portal for tracking payments and finding doctors,high,Health insurance company
The SSI Group,thessigroup.com,https://www.thessigroup.com,clinical_informatics_healthit,Healthcare Software; QM Optimizer Elite quality measurement and performance optimization; Quality Measurement; Revenue cycle management eligibility verification and EHR integrations,high,Healthcare IT services and software vendor; Integrates with care management and population health systems
The Wistar Institute,wistar.org,https://www.wistar.org,org_harvest,Research Institute; The Wistar Institute is a Global Leader in Biomedical Research,high,"Nation's first independent biomedical research institute; Biomedical research institute; Vaccine and immunotherapy center for immunology, virology, immuno-oncology"
Thermo Fisher Scientific,thermofisher.com,https://www.thermofisher.com,med_device_diagnostics,Biotech Companies; Clinical Research; Consulting; Diagnostic testing instruments and laboratory solutions; Diagnostics; Digital Health; HEOR; Medical Communications; Pharmaceutical; Phenom; RWE,high,CRO medical writing; CRO/RWE; Global pharmaceutical/biotech company with clinical research career opportunities; HEOR/RWE; HEOR/RWE/epi consulting; Life sciences; Major diagnostic and laboratory equipment provider; Medical/scientific communications; R19 new; RWD registries; failure_reason=no_matching_roles; pharma consulting
THRIVING,thrivingnhc.com,https://www.thrivingnhc.com,medical_communications,Healthcare Communications; National healthcare communications firm continues rapid growth,medium,PR Newswire article reveals organization name - healthcare communications firm
Tia,mhp-solution-group.com,https://www.mhp-solution-group.com/aussenhandel.php,Digital Health,Custom; Digital Health,medium,Women's health; failure_reason=no_matching_roles
