organization,visible_url,domain,organization_type,specialty,confidence,notes
King's Centre for Military Health Research,https://www.kcmhr.org,kcmhr.org,Military health research organization / PTSD research organization,Military health research and PTSD research,medium,Research center focused on military mental health; academic-affiliated but organization homepage
Hazelden Betty Ford Foundation,https://www.hazeldenbettyford.org,hazeldenbettyford.org,Substance use treatment organization / Behavioral health company,Addiction treatment and substance use disorder recovery,high,Major national addiction treatment and recovery organization
National Network for Youth,https://nn4youth.org,nn4youth.org,Behavioral health company / Youth services organization,Youth mental health and homeless youth services,medium,National nonprofit serving youth experiencing homelessness with behavioral health focus
Reno Behavioral Healthcare Hospital,https://www.renobehavioral.com,renobehavioral.com,Behavioral health company / Mental health service provider,Mental health and addiction treatment with trauma-informed care,high,Psychiatric hospital providing behavioral health and addiction services
National Veterans Foundation,https://www.nvf.org,nvf.org,Veterans health organization,Veterans mental health PTSD and trauma support,high,Nonprofit supporting veterans with PTSD and trauma-related mental health needs
Trauma Informed Oregon,https://traumainformedoregon.org,traumainformedoregon.org,Trauma-informed care organization,Trauma-informed care training and statewide implementation,medium,State-level coalition promoting trauma-informed practices across Oregon
Inspira Health,https://www.inspirahealthnetwork.org,inspirahealthnetwork.org,Behavioral health company / Healthcare provider,Regional healthcare including behavioral health and trauma-informed care,medium,Regional health network with behavioral health service lines
Peace Over Violence,https://www.peaceoverviolence.org,peaceoverviolence.org,Trauma-informed care organization,Violence prevention victim services and trauma-informed care,medium,Nonprofit providing trauma-informed services to violence survivors
Traumatic Stress Institute,https://www.traumaticstressinstitute.org,traumaticstressinstitute.org,Trauma-informed care organization / PTSD research organization,Trauma-informed care training and traumatic stress research,high,25+ years providing trauma-informed care training and research
Alberta Health Services,https://www.albertahealthservices.ca,albertahealthservices.ca,Behavioral health company / Healthcare system,Mental health and behavioral health services (Canadian provincial health system),medium,Canadian provincial healthcare system with behavioral health programs
Trauma Informed Care Project,https://www.traumainformedcareproject.org,traumainformedcareproject.org,Trauma-informed care organization,Trauma-informed care framework implementation and training,medium,Organization providing trauma-informed care framework and training resources
CAI Global,https://caiglobal.org,caiglobal.org,Behavioral health company / Health systems organization,Health system projects including trauma-informed behavioral health initiatives,low-medium,Project-based health systems organization with behavioral health focus
University Health System,https://www.universityhealth.com,universityhealth.com,Behavioral health company / Healthcare system,Regional healthcare including behavioral health services,medium,Regional healthcare system with public health and behavioral health programs
Newport Healthcare,https://www.newporthealthcare.com,newporthealthcare.com,Behavioral health company / Mental health company,Teen and young adult mental health and substance use treatment,high,Specialized behavioral health treatment provider for adolescents and young adults
VisionQuest National,https://www.vq.com,vq.com,Substance use treatment organization / Behavioral health company,Child youth and family services with trauma-informed evidence-based care,high,National child youth and family services organization with trauma-informed care across multiple states
Children and Family Futures,https://www.cffutures.org,cffutures.org,Substance use treatment organization / Behavioral health company,Child welfare substance use treatment and behavioral health technical assistance,medium,Provides training and technical assistance to agencies on behavioral health and substance use
Pinnacle Treatment Centers,https://www.pinnacletreatment.com,pinnacletreatment.com,Substance use treatment organization / Addiction treatment company,Addiction treatment programs with trauma-informed care approach,high,National addiction treatment provider; Google result linked to organizational blog content
Bridge to Treatment,https://www.bridgetotreatment.org,bridgetotreatment.org,Substance use treatment organization,Opioid use disorder treatment and medication-assisted treatment,high,Organization providing substance use disorder treatment services
Greater Oregon Behavioral Health Inc. (GOBHI),https://www.gobhi.org › trauma-informed-care,gobhi.org,Behavioral health company / Mental health company,Regional behavioral health services and trauma-informed care,high,Regional behavioral health organization in Oregon providing trauma-informed care services
